id	antiHormonal_20m_ESR1_letrozole_2m_1	antiHormonal_20m_ESR1_letrozole_2m_2	antiHormonal_20m_ESR1_tamoxifen_2m_3	antiHormonal_20m_CYP19A1_letrozole_2m_2	antiHormonal_18m_ESR1_no_3	antiHormonal_20m_ESR1_no_2	antiHormonal_20m_CYP19A1_no_1	aging_12m_ESR1_no_3	aging_24m_CYP19A1_12m_1	antiHormonal_20m_ESR1_letrozole_2m_3	aging_12m_CYP19A1_no_2	antiHormonal_20m_CYP19A1_tamoxifen_2m_3	aging_30m_CYP19A1_18m_2	antiHormonal_20m_CYP19A1_no_3	aging_30m_CYP19A1_18m_1	aging_24m_ESR1_12m_2	aging_24m_ESR1_6m_1	aging_12m_ESR1_no_2	aging_12m_CYP19A1_1w_1	antiHormonal_20m_CYP19A1_tamoxifen_2m_2	antiHormonal_18m_ESR1_no_1	aging_24m_CYP19A1_12m_3	aging_30m_ESR1_18m_3	aging_18m_ESR1_no_2	antiHormonal_20m_CYP19A1_letrozole_2m_1	aging_18m_ESR1_no_3	aging_24m_ESR1_12m_3	aging_30m_ESR1_18m_2	aging_18m_ESR1_1w_3	aging_24m_ESR1_no_1	antiHormonal_20m_ESR1_tamoxifen_2m_1	aging_24m_ESR1_12m_1	aging_18m_ESR1_1w_2	antiHormonal_18m_CYP19A1_no_3	aging_24m_CYP19A1_no_2	aging_12m_ESR1_no_1	aging_12m_ESR1_1w_2	aging_18m_CYP19A1_1w_2	aging_12m_CYP19A1_1w_3	aging_18m_CYP19A1_1w_3	aging_24m_CYP19A1_6m_1	aging_18m_CYP19A1_no_1	aging_18m_CYP19A1_no_3	aging_12m_CYP19A1_no_3	aging_18m_CYP19A1_no_2	antiHormonal_20m_ESR1_no_1	aging_18m_ESR1_no_1	aging_24m_CYP19A1_6m_2	aging_24m_ESR1_no_2	aging_24m_ESR1_6m_2	aging_24m_ESR1_6m_3	antiHormonal_18m_CYP19A1_no_2	antiHormonal_20m_ESR1_tamoxifen_2m_2	antiHormonal_18m_CYP19A1_no_1	aging_24m_CYP19A1_6m_3	aging_18m_ESR1_1w_1	aging_30m_CYP19A1_18m_3	antiHormonal_20m_CYP19A1_tamoxifen_2m_1	aging_24m_CYP19A1_no_3	aging_24m_CYP19A1_no_1	aging_12m_ESR1_1w_1	aging_12m_ESR1_1w_3	aging_24m_CYP19A1_12m_2	aging_30m_ESR1_18m_1	antiHormonal_20m_CYP19A1_letrozole_2m_3	antiHormonal_20m_ESR1_no_3	aging_24m_ESR1_no_3	antiHormonal_18m_ESR1_no_2	aging_18m_CYP19A1_1w_1	aging_12m_CYP19A1_no_1	antiHormonal_20m_CYP19A1_no_2	aging_12m_CYP19A1_1w_2
chr12:52562861-52566750:+	2	2	6	5	10	4	7	8		2	7	9		6	3			7	1	13	4	7	7	6	6	14	2	2	11		2		8	3	4	6	12	3	2	14	1	6	1	2	6	5	7		1		1	8	12	7	6	15	9	2			6	13			5	7		11	8	2	7	2
chr12:52562861-52589419:+	1	1		1				1			1							1		1	1	1	1										1	1	3			1				1			1																1										1	
chr12:55804710-55842561:-	1																																									1			1																											
chr12:55817403-55842561:-	1																																																			1																				
chr12:55832954-55842561:-	1				2									2				1				1		1														1				1			1	2	1							2			1	1			2	1						3				
chr12:57372309-57379245:+	2		1		1	1		1			2									2	1			1	1		1		1		3			1		1		4		1		1	1		1								1			2		1								1		3		1		
chr12:57372309-57411020:+	2																			1														1			1			1													1																2			
chr12:59025247-59037874:-	1																																																																						1	
chr12:59097053-59098494:-	3	1	2	1	1					2	1	2		1				1	2	1	1		1	2	1	1	2	2	1		1		2	1				2		1		1			1		3					1	1	4		1					1	3				1		4		1		1
chr12:59182849-59209805:+	1																												1																																											
chr12:59193121-59196354:+	1																																														1									1																
chr12:69349097-69350736:+	2		2	3	3	2	2	3		2	8	4		1			2	5	1	3	1			6		2			6		1		4	6	1	8	4	4		4		2	1		2		2				1	4	4	1	2	4	2				3	4			3	1		5	4	3	2	2
chr12:69367146-69369124:-	2			1	1		2	2		1		2		1			1	1		2			1				1	2	1		1	2	3			2	3			1						2	1					1	1	1	1	1	1				1			1		1		1		1	1	
chr12:69877202-69884847:-	1					1						2																																												1																
chr12:73225978-73265916:+	2	1		2																						1	2									2						1		1	1																			1	1							
chr12:73738321-73749686:+	1																							1							2		1									1			1						1	1					1								2					1		
chr12:81361033-81362878:-	1	2	1		1		4			1		1		1			1			3		3					1	1	1		1							1		2													1		3		2	1							3	1					2	
chr12:82387435-82389273:+	1	1	1				1		1	1	1	2								1		1		3	3		1	1	2		2		1	2		1	1					1			1						3				1			2			1				1			1		1	1	
chr12:84341990-84355206:+	2																																																																							
chr12:84352699-84355206:+	1		1															1																								1			1		1				1														1							
chr12:85075543-85080808:+	1	1		1			1			1				1									2		1									1						1		1			1										1		1	1				1			1							
chr12:85904153-85911383:+	1																																																												1											
chr12:85935932-85946263:+	2									1																																																														
chr12:85945766-85946263:+	1																																														2																									
chr12:86303641-86315835:+	1	2	1		1									1									2				2	1							1		1					2	1		2		1		2												1										2	1
chr12:86307350-86315835:+	5	3			1		3	2		1	1	1		1	2			1		2	1	2	1	2							3		2	2	1	1		2		1	1	4			4	1	3		2		2		1		2		1				1				1			1	2	1	2	
chr12:91464497-91486119:+	1						1																			1												1				1			1																											
chr12:98776777-98784157:-	1																																																																							
chr12:98837025-98853400:-	1																																																																						3	
chr12:99354619-99355176:-	1				1				1						1					1	1	1									1							2														1														1			1			1
chr12:100582255-100585900:-	1	1		1	1		1				1							2				1	1					2								3		2	2	2	1		2				2					1			1	2						1			4	1			1	1	1	1
chr12:100620305-100620748:-	1				1		2			1				1						3				1					1									2	2													2		1		2	2	1										2			3	
chr12:101849514-101856877:-	2			1		1	1												1	1	3	1	1					2	1		1		2		1	1	1	1	1	1							1					1				2	5								3	1		2	3	2	1	
chr12:102727629-102728240:+	1											1																							1												1																									
chr12:102957608-102988135:+	1																																														1					1																	1			
chr12:104934140-104935632:-	1					1															2		2					1									2																1				2									1						
chr12:105765909-105785158:+	1																										1																																									1				
chr12:105765909-105786709:+	1				1			1						1									1																		1																	1								1						
chr12:105793202-105795536:+	1																							1							1																															2										
chr12:111689045-111696546:+	1																																																																	1						
chr12:111824643-111838867:-	1		2								1							1			1		1						3							1		1	1	1		1			1	1	2					1			1	1					1	1									3	
chr12:116281449-116287830:+	1	2	4	5	3	2	2	3		4	4	3		1	1			5		3	7	3	5	3	1	5	3	2	4		2		1	5	6	3	1	2		2		2	3		2	2	8				2	2	2	4	1		2	7			6	4	1		4	3		5		3	6	3
chr16:4580422-4581710:+	1				2																																						1																			1									1	
chr16:4866564-4866613:-	1																																																																							
chr16:4872940-4895979:+	1																																																																							
chr16:4998079-4998761:+	1									1																							1					1																																		
chr16:7170795-7193833:+	2																								1		1								1																																					
chr16:10934658-10946567:-	4	3	3	3		3	6	3		5	6	2		3	1			2	1	1	1	1		3	2	1	4	2	4			1	4	4	4	1	3	3	1	4	3	9	2	1	9	2	3				6	4	2	3	1	1	8	5			5	5						2	1	2	4	4
chr16:11185540-11221696:+	1							1																																																																
chr16:11213082-11265372:+	1																																	1																																						
chr16:13337048-13337639:-	1																																			3																																			1	
chr16:15502000-15526795:+	1																			1																																																				
chr16:17104515-17117433:-	1																																																																							
chr16:18125833-18134598:-	2													1								2			1			1			1					1		3									2								1										1							
chr16:18636652-18645856:+	1																																																																							
chr16:20190837-20190869:-	1																																																																							
chr16:22067185-22067883:-	1																																	1																																						
chr16:24261530-24275692:+	1				1					1				1									2	1	1	1			1				1				1			3	1	2	1		2						2	1	3				1			1									1	1	1	
chr16:24427067-24427127:+	1										1																																																													
chr16:24580342-24581026:+	1									1					1			3	1	1	1					1							1		1	3										1								1		1		1							1				1		1	
chr16:27225527-27228048:+	1																																																																							
chr16:27228073-27236115:+	1										1																																																													
chr16:31606899-31631642:+	1													1				1								1							1	1						1																						1				2		2			1	
chr16:31796497-31809283:-	1	2								1								1		1									1						2	1		1				2	1		2		2											1								1						
chr16:31846529-31856126:-	1					1	1															1																				1			1				1																							
chr16:32770661-32782114:+	4	8	1	3	1	1	9	8	3	5	9	7		8	3			6	1	8	3	6	3	3	5	5	5	6	8			1	9	5	6	6	7	6	1	4	1	3	2		3	11	10		3		4	5	7	7	4	6	5	7		2	7	6			14	4		5	7	4	8	4
chr16:32802197-32808851:+	3	1	1											1			1						2					2	1		2			2			1			2						1	2				3			1			1	2				3		1		2					1	
chr16:32807108-32808851:+	1			1			1				2			2					1						1									3	1			1	1			1			1	1						1		1	1														1			
chr16:33241690-33255344:+	2				1	1	3	2		2	2	1					1	1		3	5	1	2		3		1	4			2	1	1	3		1	2	2		4	3	1		1	1		1						1		3	3		1				2				2		5	1		2	1
chr16:33287224-33288553:+	1		1		1																					1							1														1		1			1	1			1	1	1													1	
chr16:33550846-33571579:+	1																																																																							
chr16:35784344-35784734:+	1				1												1																													1										1												1				
chr16:43390043-43398111:+	1																	1	1				1			1			3																												1											1				
chr16:44340587-44341698:-	1		1											2	1			2			1		1	3		1		1			3		1			1		5				1	1		1		1									3					2	2			1			4	1			
chr16:44936608-44938612:+	1							1						1										1					1																																	2										1
chr16:45598075-45609480:-	1										1									1															1																						1								1							
chr16:55931968-55959463:+	1																																																									1														
chr16:57001854-57007043:-	1		1																						1																																													1		
chr16:58244923-58253826:+	1	1		1	3			1		2	1	1						1		2							1	1	3		2			1	8			2			1	1			1	1						2		1	1	1					1	1			5	2			2	2		
chr16:58265755-58265795:+	1																																																																							
chr16:58305125-58327977:-	1	2		2		1	8	5		1	2	1		5	1			1		3	2		4	2	1		1	2	2		2			1	8	1	2	2		3	1	3		1	3	2	5							2	5	3		2				2			2	2			1	2	2	1
chr16:62705763-62734350:+	1			1																																																																			1	
chr16:70230432-70238207:+	8	4	2	10	1	1	11	17		6	11	10		7	2			4	1	8	1	2	3	5	4	1		2	4		1		11	4	1	4	2	5		7		8	6	3	8	3	6				2	2	3	6	4	1	2	7			2	2		2	11	4		5	3	1	7	1
chr16:76127633-76149434:-	1								1					1																	1		1					1														1			1		1														2	
chr16:76127633-76149437:-	1		2					1			1									2	1	1	1						1		4			1			1	5		1		4	2	3	4	1	2				3	1		2							1				1	1			3		2	1
chr16:84810514-84827253:-	1			1	1	1	1	1			1											2	1	1		1		1			2							1		1		1			1						2	1		1	2	1	1	1			1	2			1					1	1	
chr16:84821740-84822385:-	1																																																																					2		
chr16:92465595-92492625:-	2																																																																							
chr16:93598448-93603359:+	1							1	1													1						1										1																			2														1	
chr16:94184770-94204227:+	2		1		3		2			1	6	3		2	2			2	2	2	1	2	2	1		3		1	6		3		1	1	1	5	1	1	3		1	2			2	2	1		3		8	1	1		3		3			1	3	2				3		3	2	1	4	
chr16:94204172-94212982:+	1	2			2	1		1		1	1							2	1	3	2		2			1	1						3	1		1		5		1		1		1	1						1			2				1				2			1			1	1	1	3	1
chr14:4506374-4506635:-	3	4	4	2	4	2	2	1		2		2							1	2	1	2	3	2		1	3	2	1				3	1	1			1		1	1		2				6		1		1	2	3				1					4		1	2	3		5	1	1	5	
chr14:6175089-6189070:-	1																											1													1																															
chr14:6175089-6191964:-	1																			1									1		1									3																																
chr14:8416739-8416844:-	1																																																																							
chr14:8456107-8456690:-	7	9	4	1			1	4		6	1	1		2				4		1	6	2	3	5		1	2	2	1		4		7	4	2	5	5	2	1	2	1	2	2		2	2	10				4	1	3			3	3	2			8	4			4	9		3	4	1	2	1
chr14:14703524-14713104:+	1											1												1										1																						1																
chr14:21033435-21035817:+	1																																	1															1																							
chr14:21284900-21290639:+	3		1																					2				1			1															1	1											1							1			1				1
chr14:21566693-21567566:+	1			2	1	1	4	4		1	3	3		2	1			3		3		1	2	2	2	5	1	2	2		1		1	2		5	2	5	2	1		3	3	1	3	1	1		1		2	1	2		2	3	1	1			3	2		1	4	4			5	1		1
chr14:21676786-21714816:+	1		2			2	3				1	1		1				1		3		1	2	2	2		2	1	3		2			1	3	2	1	2		1	1	2			2	4	4		1		1	2		1	2	1					3					1		1	2		1	1
chr14:22627915-22646610:+	1				1					2									1		2	1		1														1	1													1		1				1								2						
chr14:23640708-23700254:-	1																								1																																															
chr14:25503078-25582097:+	1						2				1												1		1						2		2					1													1		2								2										2	
chr14:26139267-26151065:-	1																																																																							
chr14:26367813-26368178:+	1	1												1					1				1										1	2			1	1	1			1			1							1									1					1				1		
chr14:30460495-30499949:+	1																																																							1						1										
chr14:30460495-30524628:+	1										1																																																													
chr14:31109675-31156102:-	1																																																																							
chr14:31939616-31964303:+	2				1																																																																	2		
chr14:32268701-32274667:+	1																																																																							
chr14:32527080-32530336:+	1																														1							2														1				1																
chr14:32760513-32769280:-	1																																																					1																		
chr14:33970840-33991493:-	1																																																																							
chr14:33981581-33995533:-	2																							1					1																		1						1									1			1							
chr14:34413638-34417062:+	1	3		1	2		4	3	1		2	5		1	3		1	3			2	3	5		3	1	3	1	1		7		4	4		3	2	3		1	1	2	1		2	1	11				4	1	1		1	5	1	4			2	1			3			2	1	1	3	
chr14:34459812-34461395:+	1																							1																									1													1										
chr14:36640390-36663221:-	1							1			1									1					1									1																								2										1		1	1	
chr14:47253733-47254252:+	1	1		1	2		2			1	1	5		1	1			1	1	6		2	3	1	3	1	3	2	1				4	3		2	1	1		1	1	1			1	2	2				1		1			1	1	1			3	3			2	2		5		1	2	
chr14:47901212-47910527:+	1																			1																1																			1											1					1	
chr14:47946258-47949965:+	2		1	2	1		2			2								1		1		2	2		2				1							2										1	1				1				1	1	1	1								3					3	
chr14:54610396-54616578:-	1										1										1														1												1																									
chr14:55134577-55134729:+	1				1																1						1						1				1			1																						1				2		1			1	
chr14:57710431-57733736:+	1																																																																							
chr14:58076546-58094187:-	1																																																																							
chr14:58102977-58115916:-	1	2			2							3														1								1	1		1									2						1						1										1				
chr14:61024743-61112756:+	1													1																																																										
chr14:65823626-65823706:-	1																																																																							
chr14:67257164-67276421:-	1																														1																																									
chr14:67609141-67628015:+	1																																																																							
chr14:72800923-72822284:-	1	1				1	1	3			1							1				1	3			1		3	2		2			1			1	2		1		2	1		2	1	1				3					3									1			1				
chr14:72889455-72921211:-	2							1		1									1																		3			1		1			1	1							1			1	1				1									1	1	
chr14:73499968-73520418:-	1			2							1	1								2					1	3					1	1																						1			1				2					1						
chr14:75013020-75023830:-	1				1	4					3									1							3				1		2			1	1					2	1		2								1		3		1					3						1	3	1	1	
chr14:75945361-75959631:-	1																																																																							
chr14:78861816-78865605:-	1																																																																							
chr14:79149608-79162869:+	1																																																																							
chr14:79171105-79263517:+	1																																														1																									
chr14:79171105-79341136:+	1																																																																							
chr14:79231839-79246719:+	2			1																																																																				
chr14:79593160-79607537:-	1																							1			1																																													
chr14:87712134-87744042:+	1																																																																1						1	
chr14:99370671-99433887:+	1																																1																																							
chr14:103489844-103528798:-	1				1									1					2	2		1							1																																				1	1						
chr14:103513224-103528798:-	1																				1				1																																															
chr14:103513224-103536299:-	1																																																																							
chr14:117424073-117861962:+	1																										1													1																																
chr14:118355148-118359273:-	1																																																																							
chr14:118727910-118790775:-	1																																																																							
chr14:124065163-124094991:+	1			1																																																	1	1														1				
chr1:10269953-10283448:-	1																																																																							
chr1:12991261-13014336:-	1																								1																																															
chr1:13291530-13356249:-	2							1		1								1			1		1	2				1	1			1					2																								3											
chr1:16510546-16556374:-	1																				1					1								1	3			1															1									1										
chr1:24124491-24125692:-	1			1							2									1	1	1		1		1			1					1	1			1				2			2		1										1								5			2	1		1	
chr1:34236281-34268327:+	1																																																																							
chr1:36591799-36591975:-	1																																																																							
chr1:38056886-38061395:+	1																																																																							
chr1:38146648-38147548:-	5	3	1	1	2	1		1		3	2	3		1	1			1	1	1	2	1	3	1	2	3			2				1	1	3			6		2	1	1			1	1	4				3				1	3	3	1			1	2				7		1	5		4	
chr1:43180857-43192414:-	1																																	1													1				1																					
chr1:43836404-43846537:-	1	1		1	1																1		1	2			1	1				2	1	2						1		1	2		1		1		1			1	1	2								2				1					1	
chr1:45377117-45377787:+	1				2		1		1	1	1	1						2			1	2				1	1	2					1	2				4	1	2	1						1				5	4	1	3				2			1	3				1		2			2	
chr1:52235323-52251525:-	1																						1					1																								1				1										2						
chr1:52258769-52259101:-	1																																																																							
chr1:55120231-55123944:-	1																										2										1																													1						
chr1:55734903-55741292:+	1																							1			1	1	1							2																								1												
chr1:58117672-58119665:+	1																																																																							
chr1:58456171-58456542:-	1	1		2					1																	2										1			1								1					2				1																
chr1:58520118-58541043:-	1									1																																																				1										
chr1:64590007-64615488:+	1						2	1			1	1									2			2	1	2		3					1	1			1					2			2		1							1			1				1				1	2		1				1
chr1:65234814-65262811:+	1																																																																							
chr1:71690679-71690808:-	1																				2																																																1			
chr1:74032321-74036263:-	1																																																																							
chr1:75084467-75085798:-	1																																																																							
chr1:79774542-79780762:-	1																																																																							
chr1:82704948-82707157:+	1																																																																							
chr1:82836076-82864188:+	1					1																																																																		
chr1:82871303-82872143:+	1					1		2		1		1																	1										1												1							1							1				1			
chr1:84741048-84741652:-	1	1				1	2																											1																	1				1																1	
chr1:85621979-85632779:+	1																																																							1																
chr1:85627327-85629164:+	1			1																																																																				
chr1:87291825-87307730:+	4	4	9	3	8	2	4	5	3	5	8	6		7				6	2	7	7	8	10	3	7	3	9	5	6		6	2	5	9	10	4	6	8	6	7	1	16	2	1	16	10	14		4		4	3	3	4	5	4	7	5			4	8			14	5		8	1	7	8	1
chr1:87291825-87364613:+	1		1				1	1																				1														1			1										2			2													1	
chr1:87808089-87809661:+	2	2		2	1	2		2		1	5	1		2	1			2	2		2	7	1	1	1	1	2		4		1		1	4		2	2	2	1	2		1		2	1	1	1				3	1		1		3	2	2			3	1			2	7		4	2	1		3
chr1:87849294-87852286:+	1																																																																							
chr1:91012667-91033019:+	1	1										1													1													1				1			1		1								3											2			1		1	
chr1:93418878-93431240:+	1																																																																	1						
chr1:118470831-118509193:+	1																																				1																		1																	
chr1:119669084-119693652:-	1	1					1	2			1							1		1			2		1	1						1								2													2		1										1	1						
chr1:119692760-119701001:-	1																																							1													1															2				
chr1:127816892-127818833:+	1	1					1																	1					2														1									1																			1	
chr1:128079480-128081136:+	1																						1																																		1											1				
chr1:132936874-132940449:-	1				1		1																1						1																	1										1										1		1			1	
chr1:133680826-133681487:-	2	1		1	2		2			3	4										1								2		1		1	1	2	1		1		1		2	2		2		4				2		1	2	1		1	4				2			5	3		1	2	2	1	
chr1:135321873-135327941:-	1																																																																							
chr1:135530282-135535642:-	1											1																						1																			1	1																		
chr1:138016240-138054064:-	1																																																																							
chr1:138460474-138472081:-	1																											1														1			1												1															
chr1:138967737-138990709:+	4	1		4	1	1	1	2		1	1	1										2			1	2	2				1		3	2	4	1		1		2	2	3			3		2		1		3				1	2		1		1		2				1		3			2	
chr1:138967737-139038223:+	1																																																																							
chr1:138981083-138990709:+	1	1			1		1			1					1		1					1	1	2			3	2			1			1		1		1			1	2			2	2	2		1		1																	1		1		
chr1:139013620-139038223:+	1	1			1		2	1							1						1								2		1					1				1		3	1		3		1				1			1	1	1	1															
chr1:140278945-140311072:+	1																																				1																																			
