circ_id	gene_id	antiHormonal_20m_ESR1_tamoxifen_2m_3	aging_24m_ESR1_6m_2	aging_24m_CYP19A1_no_3	antiHormonal_18m_CYP19A1_no_1	aging_24m_CYP19A1_12m_2	aging_30m_CYP19A1_18m_2	antiHormonal_20m_ESR1_no_2	antiHormonal_18m_ESR1_no_3	aging_24m_CYP19A1_6m_3	aging_12m_ESR1_no_2	antiHormonal_18m_ESR1_no_1	aging_12m_ESR1_no_1	antiHormonal_20m_CYP19A1_tamoxifen_2m_1	aging_18m_ESR1_no_2	aging_24m_ESR1_6m_3	aging_18m_ESR1_no_1	aging_12m_ESR1_1w_2	antiHormonal_20m_ESR1_tamoxifen_2m_1	antiHormonal_20m_CYP19A1_tamoxifen_2m_2	aging_18m_ESR1_no_3	aging_24m_CYP19A1_12m_1	aging_30m_CYP19A1_18m_3	aging_24m_CYP19A1_6m_2	aging_12m_ESR1_no_3	aging_12m_ESR1_1w_1	aging_24m_ESR1_12m_2	antiHormonal_20m_CYP19A1_no_1	aging_12m_CYP19A1_no_1	antiHormonal_20m_CYP19A1_no_3	antiHormonal_20m_ESR1_tamoxifen_2m_2	antiHormonal_18m_CYP19A1_no_3	antiHormonal_20m_CYP19A1_tamoxifen_2m_3	aging_24m_ESR1_no_2	antiHormonal_20m_CYP19A1_letrozole_2m_1	aging_18m_ESR1_1w_2	aging_30m_ESR1_18m_1	antiHormonal_18m_ESR1_no_2	aging_18m_CYP19A1_no_2	aging_18m_ESR1_1w_3	aging_24m_ESR1_6m_1	antiHormonal_20m_ESR1_letrozole_2m_1	aging_24m_ESR1_no_1	aging_24m_ESR1_12m_1	antiHormonal_20m_ESR1_no_3	aging_24m_CYP19A1_12m_3	aging_24m_CYP19A1_6m_1	aging_12m_CYP19A1_no_3	aging_12m_CYP19A1_no_2	aging_30m_ESR1_18m_3	antiHormonal_20m_CYP19A1_no_2	aging_18m_CYP19A1_1w_2	aging_12m_CYP19A1_1w_3	antiHormonal_18m_CYP19A1_no_2	antiHormonal_20m_ESR1_no_1	aging_30m_ESR1_18m_2	antiHormonal_20m_ESR1_letrozole_2m_2	antiHormonal_20m_CYP19A1_letrozole_2m_2	aging_18m_CYP19A1_1w_3	aging_12m_CYP19A1_1w_2	aging_12m_CYP19A1_1w_1	aging_12m_ESR1_1w_3	aging_24m_CYP19A1_no_2	aging_18m_CYP19A1_no_3	aging_24m_ESR1_12m_3	antiHormonal_20m_ESR1_letrozole_2m_3	aging_24m_CYP19A1_no_1	aging_18m_CYP19A1_1w_1	aging_24m_ESR1_no_3	aging_30m_CYP19A1_18m_1	aging_18m_ESR1_1w_1	antiHormonal_20m_CYP19A1_letrozole_2m_3	aging_18m_CYP19A1_no_1
chr1:10253888-10275134:-																																																	1																								
chr1:10254218-10259759:+					1																																																																				
chr1:10258982-10259903:-																		1					1				1																																				1					1					
chr1:10258982-10270129:-																																																								3																	
chr1:10269954-10279926:-																																																														1											
chr1:10269954-10283448:-																																										1																															
chr1:10279650-10286784:-																																																	1	1																					2		
chr1:11067474-11070865:+																																1																																									
chr1:11131550-11138339:+					1				1																								1																					1											3								
chr1:11131550-11183067:+																																																														1										1	
chr1:11131550-11241015:+																	2																																																								
chr1:11131550-11278879:+																																1																																									
chr1:11138235-11150348:+																																																																				1					
chr1:11138235-11160102:+										1																																																															
chr1:11150247-11194087:+																																								1																																	
chr1:11159941-11183067:+					1																											1																																									
chr1:11168687-11183067:+																																				1																																					
chr1:11168687-11194087:+																																																	2																			1			1		
chr1:11168687-11213021:+																														1																																											
chr1:11168687-11278879:+																																																				1																					
chr1:11177827-11194087:+																																																	2																								
chr1:11180506-11183067:+																	1																																																								
chr1:11180506-11202637:+																									1																																																
chr1:11193345-11213021:+																																																				1									1												
chr1:11193345-11241015:+																																																															1				1						
chr1:11202562-11226582:+																							1																																																		
chr1:11206989-11232625:+																																																																								1	
chr1:11210180-11213021:+					1																		1																																																		
chr1:11223767-11226582:+																			1																																																						
chr1:11252079-11278879:+																																						1																																			
chr1:11252204-11254764:+																																																																	1								
chr1:11255354-11302020:+																				1																																																					
chr1:11263737-11278879:+																1																																																									
chr1:11270059-11278879:+												1																																																													
chr1:11335903-11336383:+					1	1																				1																			3																												
chr1:11335903-11359544:+																																				1									2																												
chr1:11588802-11633215:+																																																																	1								
chr1:11818189-11900115:+																									1																																																
chr1:12856303-12856922:+		1		1																									1																																							2		1			
chr1:12866990-12892323:+													1																				1																																	2							
chr1:12878078-12892323:+																																																										1															
chr1:12964651-12991426:-														1																																																											
chr1:12991262-12993709:-																												1																																													
chr1:12991262-13014336:-																																			1	1						1																															
chr1:13009213-13014336:-			2																																																																	1					
chr1:13225965-13226100:+																									1																																																
chr1:13226594-13237330:-																														1																	2																										
chr1:13230385-13237330:-																			1																			1																											1								
chr1:13230385-13251541:-																																								1											1																						
chr1:13240500-13240659:-													1																																																												
chr1:13250705-13251541:-																																						1																																			
chr1:13291531-13294937:-					1			1	1					1	1					1	1					2		1		1	1	1	2	4		1				2															1		1					2				1	1						
chr1:13291531-13356249:-			1						1		2				3			3							2	4	7			2				2		1		3		2		3		2						1						2										2							
chr1:13291531-13369946:-																																						1																																			
chr1:13327107-13356249:-																		1													1							1																																			
chr1:13344746-13344889:-																																								1																																	
chr1:13354463-13356249:-																		1																																																							
chr1:13355038-13356249:-																										1	2																																														
chr1:13356193-13369946:-													1																			1					1																																				
chr1:13356193-13436885:-											1					1																													2																												
chr1:13438288-13438511:+																		1																																																							
chr1:13639695-13642298:-																																																								3																	
chr1:13698784-13698935:+																																																				1																					
chr1:13708455-13721108:-																								1																																							1	1							1		
chr1:13708455-13723144:-																1																																																								1	
chr1:14249704-14254908:-																																																									1																
chr1:14279119-14301776:-												1													1																																						1							1			
chr1:14279119-14323326:-		1																													1			1					1												1	1																					1
chr1:14279119-14353422:-																																							1							1																											1
chr1:14299717-14323326:-		1					3					1		1	2		1			1	1				1								2														1					2													1		1			1			
chr1:14322652-14323326:-																	1																																																			1					
chr1:14322652-14353422:-																																								1																																	
chr1:14340929-14353422:-																										1																														2									1								
chr1:15886110-15889987:+																												1																																													
chr1:16198389-16201573:+																																																		1																							
chr1:16415928-16445035:-																																1																																									
chr1:16415928-16510682:-																																																										1															
chr1:16415928-16533418:-																												1										1																																			
chr1:16415928-16556374:-																																																									2																
chr1:16415928-16579632:-																													1									1	2				1															1															2
chr1:16436303-16533418:-																																														2		1	1																								
chr1:16439979-16464434:-																																	1																																								
chr1:16460045-16462848:-										1																																																															
chr1:16460045-16464434:-				1	1																					2																									1	1																					
chr1:16460045-16510682:-														1		1																																														1											
chr1:16460045-16533418:-																							4																																				1												1		
chr1:16460045-16579632:-																1		1														1						1																1		1																	
chr1:16510547-16533418:-										1						1					2		1			1	1					3																				3							2											1			
chr1:16510547-16556374:-												1									1										1	2										1										1										1	3										
chr1:16533259-16533418:-																						3																																																			
chr1:16533259-16556374:-																					1																																		2																		
chr1:16533259-16579632:-							2												1																				2	1															1							1											2
chr1:16556244-16579632:-																																																	1			1																					
chr1:16652151-16655655:-					1															1																1			1	1					1		1																										1
chr1:16652151-16672577:-																	1															3																																									
chr1:16720628-16722077:+																																																											1														
chr1:16761908-16771147:+																																																										1															
chr1:17067688-17074758:-				2	1								1	1					1				4				2				1		1		1											1				1									1														
chr1:17067688-17162281:-										1																																																															
chr1:17074115-17074758:-																																																																				1					
chr1:17074115-17162281:-																							1														1															1																					
chr1:17086263-17162281:-							2												1				1		1																													1		3																	
chr1:17161522-17162281:-														1			3																	1		2																1			2											1		1				2	
chr1:17815578-17817825:+																													1																																												
chr1:17819744-17820549:+																																1																																									
chr1:17837179-17838902:+																																													1																												
chr1:19296660-19301378:+																																																		1																							
chr1:21494273-21549693:-																																																													1												
chr1:21527628-21539788:-										1																												1																				1														1	
chr1:21527628-21557557:-						1										1																							1																			1															1
chr1:21527628-21576083:-																												1																							1																						
chr1:21527628-21605411:-																																																	1																								
chr1:21527628-21663838:-																	1																																			1																					
chr1:21539694-21557557:-																																																							1																		
chr1:21575524-21663838:-										1																																																															
chr1:21663748-21678612:-																		1																																									1														
chr1:21784783-21784992:+																																										1																															
chr1:21826875-21827214:-																																1																																									
chr1:21895251-21906140:-																																								1																																	
chr1:21931248-21931483:-																																																																	1								
chr1:22443568-22467787:-																																															1																									1	
chr1:22572480-22577704:-														1																																																											
chr1:23226835-23227023:+																																		1																																							
chr1:23308068-23308213:-																																																															1										
chr1:23312611-23312754:-																																								1																	1														1	1	
chr1:23426265-23426409:-																									1																																																
chr1:23898104-23905378:-																																								1																																	
chr1:23932402-23938003:-																																													2																												
chr1:24060935-24063954:-																																																	1																								
chr1:24082030-24107059:-										1															1																				1																												
chr1:24083195-24096586:-																																																								1																	
chr1:24083195-24107059:-																																														1																		1									
chr1:24083195-24125692:-										1			1					2										1				1						1							1													1			1					1							
chr1:24085439-24125692:-		1							1					1																																																											
chr1:24093085-24125692:-								1																																																																	
chr1:24106980-24125692:-										1					1		1			1			1			1				1																												1															
chr1:24124478-24125692:-																																																																				1					
chr1:24124492-24125692:-						1						1			1		1			1	1		1									1						2	2	1		1				1			2		1	1						1					1					1	1	2		5	2
chr1:24547265-24600449:-										2									1																																																						
chr1:24724478-24732082:+																1																																																									
chr1:24732022-24770980:+																				1																																																					
chr1:24743902-24754063:+																					1										1									1																																	
chr1:24743902-24770980:+																																											1																														
chr1:24743973-24745188:+																																										1																															
chr1:24745058-24770980:+																												1																																													
chr1:24745058-24783028:+																														1																																											
chr1:24750593-24770980:+									1				1	1					1												1							1								2					1						1						4										
chr1:24750593-24783028:+														1																																																											
chr1:24767627-24787959:+																												1																																													
chr1:25165722-25170482:-			1														1								1																																									1							
chr1:25459639-25471657:-																																																				1																					
chr1:30855549-30863600:-																				1															1																																						
chr1:30859162-30863600:-																																						1																																	1		
chr1:30859162-30902336:-																																																		1																							
chr1:30859764-30902336:-																														1																																											
chr1:30860212-30863600:-																																																																		1							
chr1:30868924-30870640:-					1																				1																																														1		
chr1:30868924-30876347:-								1	2			2	1																									1							1											1																1	
chr1:30868924-30902336:-					1										1						2					1		1					1					2		1							2												1													1	
chr1:30876186-30902336:-										1													1												1																							1				1											
chr1:30891977-30902336:-																																														1																				1							
chr1:33519539-33553298:-																																																														1											
chr1:33551097-33553298:-											2										1													1						2			1			1										2																	
chr1:33667476-33669514:-					1													1																																												1									1		
chr1:33708208-33708410:+									1																																																																
chr1:33760689-33764100:+																									1																								1																								
chr1:33804925-33816944:-																		1																						1																																	
chr1:33808802-33825613:-																																				1																																					
chr1:33811974-33825613:-																			1																																																						
chr1:33815350-33822272:-																											2																									1																					
chr1:33815350-33825613:-																														1																																											
chr1:33818125-33823045:-													1				1	1								1										1			2																			1															2
chr1:33821149-33825613:-																																																				1																					
chr1:33821149-33844500:-																																																						1																			
chr1:33822122-33825613:-					1						1																																														1																
chr1:34045272-34156605:+																				1																																									1												
chr1:34125323-34156605:+																															1							1																																			
chr1:34125323-34174337:+									1														1																																	1																	
chr1:34144002-34144150:-																												1																												1										1							
chr1:34153014-34156605:+														2					1				1																				1																														
chr1:34153014-34174337:+													1																										1																																1		1
chr1:34155199-34174337:+																	1																									1																															
chr1:34155199-34193713:+																																																												1													
chr1:34155199-34226032:+												2																			1																					1																					
chr1:34155199-34235142:+						3				2						1	2			2										2				1				1							1	1	2				1	2				5	3	4		2					2								
chr1:34195734-34195981:+																																1																																									
chr1:34223097-34268327:+																																																						1																			
chr1:34227053-34235142:+																		1	3																	1	1						5		1						1	1									1	1						2	1		1	1	
chr1:34227053-34236038:+																																						1																																			
chr1:34229595-34230005:+																																										1																															
chr1:34230477-34240415:+																																		1																																							
chr1:34230792-34230956:+																	1																1																																								
chr1:34230795-34230956:+																																										2									1																						
chr1:34236282-34238639:+																		1				1											1								1									1																							
chr1:34236282-34240496:+																																																															1										
chr1:34236282-34252149:+																				1																																1																					
chr1:34236282-34253771:+																1																																																									
chr1:34236282-34268327:+																																										1																															
chr1:34236282-34286896:+																																														1																											
chr1:34237599-34238639:+											1																																																														
chr1:34250235-34252149:+																																	1																																								
chr1:34252094-34253771:+																																																																								1	
chr1:34257416-34283595:+																																								1																																	
chr1:34257416-34297021:+																					1																																																				
chr1:34262885-34268327:+					1					1										2					2				2						1			1														1				2	1	1					2									4	
chr1:34291892-34292059:+																																										1		2																					1								
chr1:34295313-34297021:+																																																					1																				
chr1:34299245-34310564:+																															1																																										
chr1:34301101-34307971:+																																																																		1							
chr1:34303873-34306003:-													1																																																												
chr1:34314754-34314897:+																															1																																										
chr1:34323340-34323499:+																																																																								1	
chr1:34330924-34333496:-												1																																																													
chr1:34332528-34333517:+					1																																																												2								
chr1:34334235-34334617:+																																1																																									
chr1:34394292-34396887:+																																																																		1							
chr1:34482944-34483139:-																																															1						1				1																
chr1:34499055-34499310:-																1																																																									
chr1:34501783-34507442:+																													1																										1																		
chr1:34760785-34764240:+																																				1																																					
chr1:34856322-34859090:-				1			1												2																						1	1			1				1														2			1							
chr1:34856322-34867928:-																																						1									1																										
chr1:34856354-34859090:-																																													1																												
chr1:34857078-34859090:-																																																															1										
chr1:34863223-34863379:+																																																									1																
chr1:35946455-35947055:-																													1																																												
chr1:36113334-36124006:+																																																																	1								
chr1:36142203-36142340:-																																																						1																			
chr1:36190715-36190875:-																																																			1																						
chr1:36218640-36223568:-				2																																													1																								
chr1:36223437-36255387:-																																																			1																						
chr1:36230610-36235081:-																																																			1																						
chr1:36230610-36236716:-																1	1						5					1		1																	4																							1			
chr1:36234931-36236716:-																					1																																									1											
chr1:36247023-36255387:-																2																																																									
chr1:36247023-36260405:-																					1	1																							1					1			1																				
chr1:36249067-36255387:-																																																													1												
chr1:36266565-36274023:-															1																																																										
chr1:36356285-36357262:+																1																																																									
chr1:36384919-36387762:-																																																																		1							
chr1:36384952-36387637:+																																																		1																							
chr1:36387606-36397541:-																																																																1									
chr1:36463919-36467542:-												1																																																								2					
chr1:36569335-36569506:+																												2																																													
chr1:36591800-36591975:-																																										1																															
chr1:36781359-36785652:+																																			1																																						
chr1:36835243-36854602:-											1																																																														
chr1:36854536-36862234:-																																																								1																	
chr1:36872577-36873993:-																																1																																									
chr1:36873697-36873993:-																																																			1																						
chr1:36893925-36928406:-									1											1																										1																											
chr1:36907689-36907824:+																															1																																										
chr1:36953150-36955660:-																																										1																															
chr1:37163032-37204928:+																							1																																																		
chr1:37167965-37182148:+												2																											1																																	1	1
chr1:37180172-37216547:+																1																																																									
chr1:37403191-37429270:+														1																																																											
chr1:37403191-37438001:+																																																								2																	
chr1:37411782-37412921:+													1																																																												
chr1:37416659-37419141:+																			1															2																																							
chr1:37422420-37438001:+						1											1												1	1								1																														1					
chr1:37480991-37481140:-																																																																		1							
chr1:37529341-37537821:-			2	2			1								1	2							1			1		2		1										1								1			1	3					1		1														
chr1:37667565-37670309:-															1																																																										
chr1:37840801-37850108:-																																																											1														
chr1:37840801-37858721:-																																																				1																					
chr1:37843710-37873418:-																												1																																													
chr1:37873267-37888527:-																																																																								1	
chr1:37918702-37920013:-										2																																																															
chr1:38034402-38034561:-									1																							1																																									
chr1:38056887-38061395:+																																										1																															
chr1:38092697-38093077:-																																																																								1	
chr1:38092697-38124733:-		1				1		2					1					1	1	1																1			1									1	2	1								2	1				1					1					1
chr1:38093165-38113524:-																																																														1											
chr1:38093826-38124733:-																																																									1																
chr1:38110424-38124733:-																																							1																																		1
chr1:38118371-38122901:-																						1																								1																											
chr1:38122785-38147548:-					1	2			1	1																																									1			1								1					1						
chr1:38146649-38147545:-																						1																																																			
chr1:38146649-38147548:-		1		5					2	1	2	2	1	1	1	3	6			1	4		5		1	1	6					1	3		2	1		2	1	2		6		1	10		1			3	4	6			2		3	1	2		1	3	5			3	1	5	2	4	4		1
chr1:38218399-38232710:-																																														1																											
chr1:38573987-38576027:-		1					4		2				1		2	2			2				1		1			1						3			1		5															1		2		2			3	1	2		2	1	1					1	5
chr1:38573987-38578082:-																																																										1															
chr1:39259954-39263996:+																																																																							1		
chr1:39302400-39339814:+							3	1					1					1			1												1							1										2																					1		
chr1:39326549-39339814:+																			1									1					1			1																																			2		
chr1:39326549-39352149:+																							1					1																														1															
chr1:39424202-39431335:-															1																																																										
chr1:39431138-39442004:-																																						1																																			
chr1:39436899-39437084:+																																																		1																							
chr1:39441764-39445951:-																										1																		1							1																						
chr1:39578954-39581683:+																																																						1																			
chr1:39578954-39584069:+																																																																				1					
chr1:39589162-39589481:-		1																																																																							
chr1:39591438-39594723:+																							1																																																		
chr1:39594559-39604413:-		2					1	1				2	3																				1																			1					1														2		
chr1:39597396-39604413:-																																1									1																																
chr1:39599774-39604413:-																												1																																													
chr1:39603129-39604413:-										1																																																				1									1		
chr1:40001338-40029459:+																																						1																																			
chr1:40013087-40029459:+		1																																																																							
chr1:40022299-40029459:+																							1																												1																	1					
chr1:40023043-40029459:+																																																								1																	
chr1:40028130-40056413:+																																																										1															
chr1:40036181-40039909:+																			1																																																						
chr1:40036181-40049837:+																				1																																																					
chr1:40042917-40049837:+																							1																																																		
chr1:40049717-40051001:+																																																													1												
chr1:40053266-40062679:+																									1	1										1																																					
chr1:40053330-40062679:+																																																								1																	
chr1:40151115-40157177:+																																																																	1								
chr1:40295711-40295962:-		1																																																																							
chr1:40315258-40321456:+																1																																																									
chr1:40321393-40340037:+																								1																1																																	
chr1:40332618-40332807:+																																																														1											
chr1:40363866-40366683:-																			1																																																						
chr1:40382188-40385037:+																																1																			1						1											1					
chr1:40500973-40501116:+																																																							1																		
chr1:40649477-40658296:+																																												1																													
chr1:40781780-40783165:+																																																						1																			
chr1:40895480-40895615:+												1					1																																	1																							
chr1:43149922-43150109:-																																																				1																					
chr1:43165757-43172313:+		1																																																																							
chr1:43180858-43192414:-																1	1															1										1																															
chr1:43187742-43187921:-																																												1																													
chr1:43486467-43486647:-																																1																																									
chr1:43577192-43577875:+																																		1																																							
chr1:43794859-43804169:-																																																																							3		
chr1:43829624-43846537:-																																	1							3															1																1		
chr1:43836405-43846537:-																				2																																					3								3								
chr1:43992417-43995785:+																																																		1	1	1																				1	
chr1:43992417-44000127:+																									1																																																
chr1:43996596-44009676:+																1																																											1												2		
chr1:43999244-44012680:+									1																1															1											1																					1	
chr1:43999244-44017995:+																										2																												2																			
chr1:43999244-44031565:+																																																											1														
chr1:44008042-44031554:+														1																																																											
chr1:44009561-44010892:+																																																				1																					
chr1:44022674-44030519:+																																																												1													
chr1:44029671-44031554:+												1																															3				1																										
chr1:44029671-44031565:+								1																												1									1				3																								
chr1:44165426-44167983:+														1		1				1																																																					
chr1:44168420-44181034:+																																																	1																								
chr1:44196043-44207042:+																	1								1																																																
chr1:44196097-44201113:+						1																																														1							1														
chr1:44196097-44207042:+				1						1					1	1						3			1									1		1				1				1	3			1								1	1		1			1											
chr1:44591330-44591659:+								1																																																																	
chr1:44728304-44747838:+																																																							1													1					
chr1:44783634-44820266:+		1				1																																	1	1																	1													3		1	1
chr1:44793503-44813305:+																1																																																									
chr1:44793503-44820266:+					1							1											1					1									1	1								1								1				1										1					
chr1:44793503-44827702:+											2		2		1					1																								2	2							2								2			1		1								
chr1:44805174-44820266:+													1				1															1																																									
chr1:44805174-44827702:+		1																																																													2										
chr1:45370285-45370721:+		6				2	5				7		3		2		6							8			2		9	4															8	12	2		5												6	11							1				
chr1:45373757-45374941:+																																																										1															
chr1:45373921-45374941:+																																																								16																	
chr1:45374313-45375864:+																																																	2																4				12				
chr1:45377118-45377787:+						12							14								32											23		6		2		5	49			41				25			49		40	74		39				17	20	9	45	47								20			49
chr1:45379071-45379460:+																										1																																															
chr1:45382416-45383726:+									1																																																																
chr1:45385272-45386914:-																																																																								1	
chr1:45387761-45388134:+																																																														1											
chr1:45414830-45415012:+																																																													1												
chr1:45456748-45460434:-						5										1		3					1	3															1				3		3		4	1			1			1								5											1
chr1:45461104-45462886:-																																											1		2		1					1					1														1	1	
chr1:45855637-45856603:+			1																																																																						
chr1:45904735-45917272:+																	1																																																								
chr1:46857223-46875311:-																			1																																																						
chr1:51110627-51172277:+																										1																																1															
chr1:51219411-51221054:+																																						2																																			
