circ_id	gene_id	aging_24m_ESR1_no_3	antiHormonal_20m_CYP19A1_tamoxifen_2m_3	aging_12m_ESR1_no_3	aging_12m_ESR1_1w_2	aging_12m_CYP19A1_no_2	antiHormonal_20m_CYP19A1_tamoxifen_2m_2	aging_12m_CYP19A1_no_3	aging_24m_CYP19A1_6m_1	aging_18m_CYP19A1_no_3	aging_18m_ESR1_1w_2	antiHormonal_20m_ESR1_tamoxifen_2m_1	aging_24m_CYP19A1_no_2	aging_24m_CYP19A1_12m_1	aging_24m_CYP19A1_6m_2	aging_12m_CYP19A1_1w_1	antiHormonal_18m_CYP19A1_no_2	antiHormonal_20m_ESR1_letrozole_2m_2	aging_24m_ESR1_no_2	antiHormonal_20m_ESR1_tamoxifen_2m_2	antiHormonal_20m_CYP19A1_no_3	aging_12m_CYP19A1_1w_3	aging_30m_ESR1_18m_3	aging_24m_CYP19A1_no_1	aging_24m_CYP19A1_12m_2	aging_12m_ESR1_no_2	aging_30m_CYP19A1_18m_3	aging_30m_CYP19A1_18m_1	aging_24m_ESR1_6m_2	aging_18m_ESR1_no_2	aging_30m_ESR1_18m_1	antiHormonal_18m_ESR1_no_1	aging_18m_CYP19A1_1w_3	aging_18m_ESR1_no_1	aging_18m_ESR1_1w_1	antiHormonal_18m_CYP19A1_no_1	aging_24m_ESR1_12m_3	aging_24m_ESR1_no_1	antiHormonal_20m_ESR1_tamoxifen_2m_3	antiHormonal_20m_ESR1_no_3	antiHormonal_20m_CYP19A1_no_2	aging_18m_CYP19A1_1w_1	aging_24m_ESR1_12m_1	antiHormonal_20m_CYP19A1_tamoxifen_2m_1	aging_18m_ESR1_1w_3	antiHormonal_20m_ESR1_no_1	antiHormonal_20m_CYP19A1_letrozole_2m_1	aging_24m_ESR1_6m_1	antiHormonal_18m_ESR1_no_3	aging_18m_ESR1_no_3	aging_18m_CYP19A1_no_2	antiHormonal_20m_ESR1_no_2	antiHormonal_18m_ESR1_no_2	aging_24m_CYP19A1_12m_3	aging_18m_CYP19A1_no_1	aging_24m_ESR1_6m_3	antiHormonal_18m_CYP19A1_no_3	antiHormonal_20m_CYP19A1_letrozole_2m_3	antiHormonal_20m_CYP19A1_no_1	aging_24m_CYP19A1_6m_3	aging_30m_ESR1_18m_2	antiHormonal_20m_CYP19A1_letrozole_2m_2	aging_12m_ESR1_1w_3	aging_24m_ESR1_12m_2	aging_12m_CYP19A1_no_1	aging_12m_ESR1_no_1	aging_30m_CYP19A1_18m_2	antiHormonal_20m_ESR1_letrozole_2m_1	aging_12m_CYP19A1_1w_2	aging_12m_ESR1_1w_1	antiHormonal_20m_ESR1_letrozole_2m_3	aging_24m_CYP19A1_no_3	aging_18m_CYP19A1_1w_2
chr1:11159940-11183067:+																																				1																					1																
chr1:11168686-11183067:+											1																																																														
chr1:11168686-11194087:+						1																													1							1																															
chr1:11168686-11213021:+																					1																																																				
chr1:11168686-11278879:+																																																																									1
chr1:11177826-11194087:+						2																																																																			
chr1:11180505-11183067:+																																		1																																							
chr1:11180505-11202637:+				1																																																																					
chr1:11193344-11213021:+																1																																																									1
chr1:11193344-11241015:+													1																																																												
chr1:11202561-11226582:+																											1																																														
chr1:11206988-11232625:+																																																										1															
chr1:11210179-11213021:+																											1									1																																					
chr1:11223766-11226582:+												1																																													2																
chr1:11252078-11278879:+																																																					1																				
chr1:11255353-11302020:+							1																																																																		
chr1:11263736-11278879:+																																																								1																	
chr1:11270058-11278879:+																																1																																									
chr1:11335902-11336383:+																																				1				3																														1			
chr1:11335902-11359544:+											1																													2																																	
chr1:11588801-11633215:+																																					1																																				
chr1:11818188-11900115:+				1																																																																					
chr1:12856302-12856922:+																																							1			2																							1								
chr1:12866989-12892323:+			1																																																															1					2		
chr1:12878077-12892323:+																																																														1											
chr1:12964650-12991426:-																																												1																													
chr1:12991261-13014336:-																																															1																					1					
chr1:13009212-13014336:-																																										1																															
chr1:13226593-13237330:-									1												1																																																				
chr1:13230384-13237330:-												1																									1																																				
chr1:13230384-13251541:-																																									1				1																												
chr1:13250704-13251541:-																																																					1																				
chr1:13291530-13294937:-			2				1				1							1	2	1	1									1						1								1	2	1			1	1	1	1			1		1		1				2							2	1		
chr1:13291530-13356249:-				1	2																		1			1				2		1											1		1																1							2		3	1		
chr1:13291530-13369946:-																																																					1																				
chr1:13327106-13356249:-					1															1																																	1																				
chr1:13356192-13369946:-																																																									1									1							
chr1:13356192-13436885:-																										1														2																																	
chr1:13639694-13642298:-																																																													3												
chr1:13708454-13721108:-										1			1																		1				1																																						
chr1:13708454-13723144:-																																																								1		1															
chr1:14249703-14254908:-																		1																																																							
chr1:14279118-14301776:-				1									1															1				1																																									
chr1:14279118-14323326:-																			1	1																			1		1										1				1																		1
chr1:14279118-14353422:-																																																			1			1	1																		
chr1:14299716-14323326:-			1	1			1																	1				1		2		1		1			1		1					1						1																							2
chr1:14322651-14323326:-																																										1																			1												
chr1:14322651-14353422:-																																													1																												
chr1:14340928-14353422:-																																					1																								2												
chr1:15886109-15889987:+																																																											1														
chr1:16415927-16445035:-																																																									1																
chr1:16415927-16510682:-																																																														1											
chr1:16415927-16533418:-																																																					1						1														
chr1:16415927-16556374:-																		2																																																							
chr1:16415927-16579632:-																																																			1				1										1								
chr1:16436302-16533418:-						1		1																																														2																			
chr1:16439978-16464434:-			1																																																																						
chr1:16460044-16462848:-																																																												1													
chr1:16460044-16464434:-																																				1			1																															1			
chr1:16460044-16510682:-																																																								1							1										
chr1:16460044-16533418:-																											1						1		1																																						
chr1:16460044-16579632:-																	1																																								1				1												
chr1:16510546-16533418:-																											1						2																	2						1	2			1										1			2
chr1:16510546-16556374:-													3							1												1																		1							1						1					1					1
chr1:16533258-16533418:-														1																																																											
chr1:16533258-16556374:-																																														2				1							1																
chr1:16533258-16579632:-												1																																	1	1					2				2																		
chr1:16556243-16579632:-						1																																																																			1
chr1:16652150-16655655:-							1		1								1																																	1																							
chr1:16652150-16672577:-																																		1																							1																
chr1:16761907-16771147:+																																																														1											
chr1:17067687-17074758:-			1	1								1								1			1				2						1			1				1				1			1							1												1							
chr1:17067687-17162281:-																																																												1													
chr1:17074114-17074758:-																																										1																															
chr1:17074114-17162281:-																											1																																														1
chr1:17086262-17162281:-				1								1					1										1																																		1												
chr1:17161521-17162281:-											2																							3								1		1		2												2													1		1
chr1:17815577-17817825:+																																																																	1								
chr1:19296659-19301378:+																							1																																																		
chr1:21494272-21549693:-																1																																																									
chr1:21527627-21539788:-																																																					1					1		1		1											
chr1:21527627-21557557:-																																																			1				1	1						1											
chr1:21527627-21576083:-																																									1																		1														
chr1:21527627-21605411:-						1																																																																			
chr1:21527627-21663838:-																																		1																																							1
chr1:21539693-21557557:-																																														1																											
chr1:21575523-21663838:-																																																												1													
chr1:21663747-21663838:-																																																												1						1							
chr1:22443567-22467787:-									1																																																	1															
chr1:22572479-22577704:-																																												1																													
chr1:23898103-23905378:-																																													1																												
chr1:24060934-24063954:-						1																																																																			
chr1:24082029-24107059:-				1																																				1																				1													
chr1:24083194-24096586:-																																																													1												
chr1:24083194-24107059:-										1																																												1																			
chr1:24083194-24125692:-					2											1																								1													1				1		1	1		1				1					1		
chr1:24085438-24125692:-																																							1																																		
chr1:24093084-24125692:-																																																				1																					
chr1:24106979-24125692:-							1														1									1				1																										1		1								1			
chr1:24124491-24125692:-						2	1						1														1			1		1		1							1	1			1					1	2		2	1	2		1	5				1						1					1
chr1:24547264-24600449:-												1																																																2													
chr1:24724477-24732082:+																																																								1																	
chr1:24732021-24770980:+							1																																																																		
chr1:24743901-24754063:+																				1																									1					1																							
chr1:24743901-24770980:+																																																														1											
chr1:24745057-24770980:+				1																																																							1														
chr1:24745057-24783028:+																					1																																																				
chr1:24750592-24770980:+												1	4					1		1																					1			1					1				1	2												1							
chr1:24750592-24783028:+																																												1																													
chr1:24767626-24787959:+																																																											1														
chr1:25165721-25170482:-				1																														1																																					1		
chr1:25459638-25471657:-																																																																									1
chr1:30855548-30863600:-							1																																								1																										
chr1:30859161-30863600:-																																			1																		1																				
chr1:30859161-30902336:-																							1																																																		
chr1:30859763-30902336:-																					1																																																				
chr1:30860211-30863600:-																																																																							1		
chr1:30868923-30870640:-				1																															1																																						
chr1:30868923-30876347:-																																1								1									1			1	1					1			1					1							
chr1:30868923-30902336:-			1						1																					1			1			1									1					2								1	1											1			
chr1:30876185-30902336:-																											1									1											1													1		1	1										
chr1:33519538-33553298:-																																																															1										
chr1:33551096-33553298:-																										2																			2					1				1							2												
chr1:33667475-33669514:-					1																									1					1	1																											1										
chr1:33760688-33764100:+				1																																																																					
chr1:33804924-33816944:-					1																																								1																												
chr1:33808801-33825613:-											1																																																														
chr1:33811973-33825613:-												1																																																													
chr1:33815349-33822272:-																																																																									1
chr1:33815349-33825613:-																					1																																																				2
chr1:33818124-33823045:-					1						1																							1																												1				1				1			
chr1:33821148-33825613:-																																																																									1
chr1:33821148-33844500:-																	1																																																								
chr1:33822121-33825613:-																										1										1																																					
chr1:34045271-34156605:+							1									1																																																									
chr1:34125322-34156605:+																				1																																	1																				
chr1:34125322-34174337:+																											1																						1												1												
chr1:34153013-34156605:+												1																																2																													
chr1:34153013-34174337:+																																			1																1				1																		
chr1:34155198-34174337:+																																		1																																							
chr1:34155198-34193713:+																																																																					1				
chr1:34155198-34226032:+																				1												2																																									1
chr1:34155198-34235142:+							2		1									2	1		2													2			2			1	1												1	1		1				2	4	4							1				1
chr1:34156512-34156605:+																																																												1													
chr1:34223096-34223225:+												1																											1																																		1
chr1:34223096-34268327:+																	1																																																								
chr1:34227052-34235142:+					1						1	3				1																			1					1	1	2																1					1										1
chr1:34236281-34238639:+			1		1								1										1																																																		
chr1:34236281-34240496:+													1																																																												
chr1:34236281-34252149:+							1																																																																		1
chr1:34236281-34253771:+																																																								1																	
chr1:34236281-34268327:+																																																																				1					
chr1:34236281-34286896:+																																																						1																			
chr1:34237598-34238639:+																										1																																															
chr1:34250234-34252149:+			1																																																																						
chr1:34257415-34283595:+																																													1																												
chr1:34257415-34297021:+																																																		1																							
chr1:34262884-34268327:+							1						2					1																		1											1											3		1	2	1			2								1
chr1:34295312-34297021:+																						1																																																			
chr1:34299244-34310564:+																				1																																																					
chr1:34301100-34307971:+																																																																							1		
chr1:34323339-34323499:+																																																										1															
chr1:34334234-34334617:+																																																									1																
chr1:34501782-34507442:+																																														1																			1								
chr1:34760784-34764240:+											1																																																														
chr1:34857077-34859090:-													1																																																												
chr1:36190714-36190875:-																																									1																																
chr1:36218639-36223568:-						1																																																																			
chr1:36223436-36255387:-																																									1																																
chr1:36230609-36235081:-																																									1																																
chr1:36230609-36236716:-									1												1						3							1																						1			1														
chr1:36234930-36236716:-																																																		1													1										
chr1:36247022-36255387:-																																																								2																	
chr1:36247022-36260405:-																						1	1																											1																							
chr1:36249066-36255387:-																1																																																									
chr1:36266564-36274023:-																														1																																											
chr1:36356284-36357262:+																																																								1																	
chr1:36384918-36387762:-																																																																							1		
chr1:36387605-36397541:-										1																																																															
chr1:36463918-36467542:-																																1										2																															
chr1:36591799-36591975:-																																																																				1					
chr1:36781358-36785652:+																																															1																										
chr1:36835242-36854602:-																										1																																															
chr1:36854535-36862234:-																																																													1												
chr1:36872576-36873993:-																																																									1																
chr1:36873696-36873993:-																																									1																																
chr1:36893924-36928406:-							1																																										1					1									1										
chr1:37163031-37204928:+																											1																																														
chr1:37167964-37182148:+																																2																										1															
chr1:37180171-37216547:+																																																								1																	
chr1:37403190-37429270:+																																												1																													
chr1:37403190-37438001:+																																																													2												
chr1:37416658-37419141:+												1							1																																																						
chr1:37422419-37438001:+																					1													1								1											1												1								
chr1:37529340-37537821:-								1										1			1						1			1			1								1				1											1			2											1			2
chr1:37840800-37850108:-																																	1																																								
chr1:37840800-37858721:-																																			1																																						1
chr1:37843709-37873418:-																																																											1														
chr1:37873266-37888527:-																																																										1															
chr1:37918701-37920013:-																																																												2													
chr1:38056886-38061395:+																																																																				1					
chr1:38092696-38093077:-																																																										1															
chr1:38092696-38124733:-					1	2	1	1			1	1	1										1										1						1			1									1	1			1							2				1					1		
chr1:38093164-38113524:-																																																															1										
chr1:38093825-38124733:-																		1																																																							
chr1:38110423-38124733:-																																																			1				1																		
chr1:38118370-38122901:-																																																						1																			
chr1:38122784-38147548:-																	1																			1					1								1											1			1										
chr1:38146648-38147548:-			3	1		2	1		1		1		3			1		3			1		3			1	3	1		1		2	2	4	3				1	7	4	5		1	2	1	2		2	3	1	1	1	1	1	3	1			1		1	2					5		1	3		6
chr1:38573986-38576027:-				1				1				2	2			3	1		3								1			2	1						2		1	1				1					2		5				5	1		1	1		2	1	1			1					1		
chr1:38573986-38578082:-																																																														1											
chr1:39302399-39339814:+					1																		1												1										1					1		1														1							
chr1:39326548-39339814:+			1																																																								1														
chr1:39326548-39352149:+																											1																																1			1											
chr1:39424201-39431335:-																														1																																											
chr1:39431137-39442004:-																																																					1																				
chr1:39441763-39445951:-																																									1																													1			
chr1:39578953-39581683:+																	1																																																								
chr1:39578953-39584069:+																																										1																															
chr1:39594558-39604413:-																																																																		2							
chr1:39597395-39604413:-																																																									1																
chr1:39599773-39604413:-																																			1																								1														
chr1:39603128-39604413:-																																			1																									1			1										
chr1:40001337-40029459:+																																																					1																				
chr1:40013086-40029459:+																																							1																																		
chr1:40022298-40025960:+																																										1																															
chr1:40022298-40029459:+																											1														1	1																															
chr1:40023042-40029459:+																																																													1												
chr1:40028129-40056413:+																																																														1											
chr1:40036180-40039909:+												1																																																													
chr1:40036180-40049837:+							1																																																																		
chr1:40042916-40049837:+																											1																																														
chr1:40049716-40051001:+																1																																																									
chr1:40053265-40062679:+				1							1																																																											1			
chr1:40053329-40062679:+																																																													1												
chr1:40151114-40157177:+																																					1																																				
chr1:40315257-40321456:+																																																								1																	
chr1:40321392-40340037:+																																													1																												
chr1:40332617-40332807:+																																																															1										
chr1:40382187-40385037:+																																										1															1																
chr1:40649476-40658296:+																																											1																														
chr1:40781779-40783165:+																	1																																																								
chr1:43180857-43192414:-																																		1																						1	1											1					
chr1:43794858-43804169:-																																			3																																						
chr1:43829623-43846537:-																																									1	1			1		1				1				1								1										
chr1:43836404-43846537:-										2	1						1	1	1	1			1							2		1	1	1		2	1			1	1		2						1		1				1		2				1	1	2					1					
chr1:43992416-43995785:+																							1																		1																	1															1
chr1:43992416-44000127:+				1																																																																					
chr1:43996595-44009676:+																																	1		2																					1																	
chr1:43999243-44012680:+				1																																					1				1													1															
chr1:43999243-44017995:+																	2																																																					2			
chr1:43999243-44031565:+																																	1																																								
chr1:44008041-44031554:+																																												1																													
chr1:44009560-44010892:+																																																																									1
chr1:44019467-44019564:+																																																		1																							
chr1:44022673-44030519:+																																																																					1				
chr1:44029670-44031554:+																							1									1													1																												
chr1:44029670-44031565:+						2					1																													1												1																					
chr1:44049691-44049809:-																																																				1																					
chr1:44165425-44167983:+							1																																					1												1																	
chr1:44168419-44181034:+						1																																																																			
chr1:44196096-44201113:+																																	1																																								1
chr1:44196096-44207042:+				1				1			1			1				1												1			1							3					1											1				1	1		1										
chr1:44728303-44747838:+																																										1				1																											
chr1:44783633-44820266:+																		1										2											1						1						1				1			1															
chr1:44793502-44813305:+																																																								1																	
chr1:44793502-44820266:+																	1										1				1	1				1						1											1	1					1			1											1
chr1:44793502-44827702:+							1						1													1				1							1			2			1																							2			2				1
chr1:44805173-44820266:+																																		1																							1									1							
chr1:44805173-44827702:+													2																										1																																		
chr1:45373756-45374941:+																																																														1											
chr1:45373920-45374941:+																																																													1												
chr1:45377117-45377787:+			1			1			1		1			1			4			1		1				2						1	2	1		3	1			1	2			2					2	1			2	2		5	2		1		2		3					1		1	1		4
chr1:45382415-45383726:+																																																	1																								
chr1:45456747-45460434:-					1																						1													1											1				1																		
chr1:45461103-45462886:-																		1																	1					2																		1															1
chr1:45855636-45856603:+																																																															1										
chr1:46857222-46875311:-												1																																																													
chr1:51110626-51110723:+																																					1							1																													
chr1:51110626-51172277:+																																																														1								1			
chr1:51219410-51221054:+																																																					2																				
chr1:51812391-51832864:-																																																									1																
chr1:51832798-51852225:-																																																													1												
chr1:51832798-51902593:-										1																																																															
chr1:51836157-51852225:-																																													1																												
chr1:51836546-51840441:-																																																																							1		
chr1:51852161-51863360:-							1							1																																																											
chr1:51852161-51902593:-																											2																		2																												
chr1:51859299-51873702:-																	1																																																								
chr1:51859299-51902593:-											1																																											1								2											
chr1:51863255-51902593:-																																													1																												
chr1:51873607-51922385:-																												1																																													
chr1:51902477-51902593:-																																																	1																								
chr1:52227837-52230446:-																								1																																																	
chr1:52227837-52239046:-																																										1																															
chr1:52227837-52246518:-																											1																																														
chr1:52227837-52254853:-																		1					1				2	1																1						1									1														
chr1:52227837-52256457:-																																																														1											
chr1:52230269-52251525:-											1																																																														
chr1:52230269-52254853:-														1																																																											
chr1:52235323-52246518:-																																1																																									
chr1:52235323-52251525:-																	1						1												1					2																					1							1					
chr1:52238869-52246518:-																																																																									1
chr1:52238869-52259198:-																																																											1														
chr1:52251361-52254853:-					1																			1																										1																							
chr1:52518396-52529914:-			1				1			1	1							2	1		1					1	1							2		2				2	3										2				2											1							
chr1:52529079-52529914:-				1																																																				1																	
chr1:52747322-52748914:-							1					1					1	1			1		1			2				1		1											2						1	1							1			1		1	3			1							1
chr1:52892826-52908117:+																																			2																																			1			
chr1:52943800-52955829:+																																																		1																							
chr1:53209258-53209617:-																																					1																																				
chr1:53245720-53247244:-											1																																																											1			
chr1:53255389-53321251:-																																																															1										
chr1:53295787-53314411:-																																2																																									
chr1:53295787-53321251:-			2	1		1	3				2	1	1	2		1		2		1	2	1	3			1	1						1	1	2	1	3		1		3			2	1	1			1				1			1		2	3	1		3			1	1					1		3
chr1:53295787-53329582:-							1															1	2													1																							1						1								
chr1:53800140-53805224:-																					1																																																				
chr1:53878170-53908078:-																																																					2																				
chr1:53890731-53953791:-																																																			1				1																		
chr1:53904199-53930419:-												1																																																													
chr1:53904199-53953791:-							1																			1																					1		1		1				1															1	1		
chr1:53924487-53930419:-																																																					1																				
chr1:53924487-53953791:-												1	1																	1		1										1																			1	1								1			
chr1:53924487-53966324:-						1																														1																																					
chr1:53943407-53953791:-									1																										1	1				1		1											1								1				1								1
chr1:54079359-54079686:-			1																																																											1											
chr1:54587097-54590289:-																							1																																																		
chr1:54720278-54775471:-																																	1												1																												
chr1:54762172-54769033:-					1								2																								1							1																													
chr1:54762172-54775471:-																																																	1				1				1					1											
chr1:54762172-54782587:-																																				1					1									1							1														1		1
chr1:54762172-54806143:-																																																																									1
chr1:54762172-54817516:-																																																																									2
chr1:54792048-54806143:-																																					1																																				
chr1:54801419-54806143:-				1																																																																					
chr1:54802803-54806143:-																																																																						1			
chr1:55039173-55056042:-																																																																						1			
chr1:55045329-55053721:-																																																					1																				
chr1:55243341-55245774:-				1													1									1							1																																								
chr1:55734903-55741292:+																								1						1							1								1																1					2		1					
chr1:55734903-55754762:+																					2																																			1	1						1										
chr1:55752579-55754762:+																										1																																															
chr1:57838463-57894683:+																										1															2																																
chr1:57939792-57941383:+																																																								1															1		
chr1:58092822-58121362:+																																												1																													
chr1:58096572-58097383:+																																										1																															
chr1:58098193-58104525:+											1																																																														
chr1:58098537-58120748:+																																								1																																	
chr1:58101290-58121362:+																																										1																															
chr1:58115222-58124820:+																																																															1										
chr1:58124592-58124820:+																																										1																															
chr1:58154029-58205120:+																																					1																																				
chr1:58439237-58440670:+																																																													1												
chr1:58452548-58458892:-																																																											1														
chr1:58453530-58461093:-																																																															2										
chr1:58456171-58456542:-														1			2	1				1												1	1															2												2				1		1					
chr1:58458825-58461093:-												2																						1																																1							
chr1:58510098-58514100:-																																																																		1							
chr1:58515592-58519508:-																																																					1																				
chr1:58515592-58522862:-																																															1						1							1													
chr1:58519409-58532909:-											1																																																														
chr1:58519409-58541043:-																																																	2																								
chr1:58520118-58541043:-																																																															1					1			1		
chr1:58520118-58541049:-												1																																																													
chr1:58522801-58541049:-																																																											1														
chr1:58532015-58541049:-														1																1																														1						1							
chr1:58587797-58597216:-																		1														1	1	1										1									1						1			1				1							
chr1:58591308-58597216:-																																																					1																				
