circ_id	gene_id	aging_24m_ESR1_no_3	antiHormonal_20m_CYP19A1_tamoxifen_2m_3	aging_12m_ESR1_no_3	aging_12m_ESR1_1w_2	aging_12m_CYP19A1_no_2	antiHormonal_20m_CYP19A1_tamoxifen_2m_2	aging_12m_CYP19A1_no_3	aging_24m_CYP19A1_6m_1	aging_18m_CYP19A1_no_3	aging_18m_ESR1_1w_2	antiHormonal_20m_ESR1_tamoxifen_2m_1	aging_24m_CYP19A1_no_2	aging_24m_CYP19A1_12m_1	aging_24m_CYP19A1_6m_2	aging_12m_CYP19A1_1w_1	antiHormonal_18m_CYP19A1_no_2	antiHormonal_20m_ESR1_letrozole_2m_2	aging_24m_ESR1_no_2	antiHormonal_20m_ESR1_tamoxifen_2m_2	antiHormonal_20m_CYP19A1_no_3	aging_12m_CYP19A1_1w_3	aging_30m_ESR1_18m_3	aging_24m_CYP19A1_no_1	aging_24m_CYP19A1_12m_2	aging_12m_ESR1_no_2	aging_30m_CYP19A1_18m_3	aging_30m_CYP19A1_18m_1	aging_24m_ESR1_6m_2	aging_18m_ESR1_no_2	aging_30m_ESR1_18m_1	antiHormonal_18m_ESR1_no_1	aging_18m_CYP19A1_1w_3	aging_18m_ESR1_no_1	aging_18m_ESR1_1w_1	antiHormonal_18m_CYP19A1_no_1	aging_24m_ESR1_12m_3	aging_24m_ESR1_no_1	antiHormonal_20m_ESR1_tamoxifen_2m_3	antiHormonal_20m_ESR1_no_3	antiHormonal_20m_CYP19A1_no_2	aging_18m_CYP19A1_1w_1	aging_24m_ESR1_12m_1	antiHormonal_20m_CYP19A1_tamoxifen_2m_1	aging_18m_ESR1_1w_3	antiHormonal_20m_ESR1_no_1	antiHormonal_20m_CYP19A1_letrozole_2m_1	aging_24m_ESR1_6m_1	antiHormonal_18m_ESR1_no_3	aging_18m_ESR1_no_3	aging_18m_CYP19A1_no_2	antiHormonal_20m_ESR1_no_2	antiHormonal_18m_ESR1_no_2	aging_24m_CYP19A1_12m_3	aging_18m_CYP19A1_no_1	aging_24m_ESR1_6m_3	antiHormonal_18m_CYP19A1_no_3	antiHormonal_20m_CYP19A1_letrozole_2m_3	antiHormonal_20m_CYP19A1_no_1	aging_24m_CYP19A1_6m_3	aging_30m_ESR1_18m_2	antiHormonal_20m_CYP19A1_letrozole_2m_2	aging_12m_ESR1_1w_3	aging_24m_ESR1_12m_2	aging_12m_CYP19A1_no_1	aging_12m_ESR1_no_1	aging_30m_CYP19A1_18m_2	antiHormonal_20m_ESR1_letrozole_2m_1	aging_12m_CYP19A1_1w_2	aging_12m_ESR1_1w_1	antiHormonal_20m_ESR1_letrozole_2m_3	aging_24m_CYP19A1_no_3	aging_18m_CYP19A1_1w_2
chr1:34262884-34268327:+																																																																	1								
chr1:34267999-34268083:-																		1																									1																														
chr1:34277224-34277356:-																																																			1				1																		
chr1:34303872-34306003:-																																																																		1							
chr1:34314413-34314819:-								1																																				1																		1											
chr1:34327511-34327620:-			1																																																																						
chr1:34330923-34333496:-																																1																																									
chr1:34482943-34483139:-									1									1				1																																																			
chr1:34499054-34499310:-																																																								1																	
chr1:34852913-34853047:+														1																																																											
chr1:34853047-34853157:+																																	1																			1																					
chr1:34863222-34863379:+																		1																																																							
chr1:34908413-34908938:-																																																														1											
chr1:36009167-36009246:+											1																																																														
chr1:36085360-36085433:-																																																																						1			
chr1:36108420-36108517:-																				1												1							1																																		
chr1:36142202-36142340:-																	1																																																								
chr1:36142858-36142972:-																																																					1																				
chr1:36356493-36356630:+																																																	1																								
chr1:36359252-36359326:-																																																														1											
chr1:36384951-36387637:+																							1																																																		
chr1:36397957-36398048:+																																														1																											
chr1:36511528-36511676:-																																																																			1						
chr1:36569318-36569412:+																																								1																																	
chr1:36569334-36569506:+																																																											1														
chr1:36569411-36569506:+																																																																		1							
chr1:36569412-36569506:+																																																								1																	1
chr1:36570496-36570598:+																							1																																						1											1	
chr1:36741568-36745974:+																																																																			1						
chr1:36744704-36744805:+																																															1																										
chr1:36745896-36745977:+																																																		1																							
chr1:36832126-36832205:+															1							1																																				1									1						
chr1:36907688-36907824:+																				1																																																					
chr1:37469596-37469690:-																											1																																														
chr1:37491348-37491635:+																																																																							1		
chr1:37491349-37491637:+																																																																							1		
chr1:37844918-37844998:+																																																												1													
chr1:38146648-38147548:-																																																		1																							
chr1:38436873-38436999:+																																					1																																				
chr1:39252372-39252451:-																																																																					1				
chr1:39410688-39410862:-																																																																									1
chr1:39410688-39410864:-							1																																																																		
chr1:39412958-39413129:+																						1															1																																				
chr1:39436898-39437084:+																							1																																																		
chr1:39591437-39594723:+																											1																																														
chr1:39970686-39970802:-																																																				2																					
chr1:40295710-40295962:-																																							1																																		
chr1:40349347-40349448:-												1																																																													
chr1:40354114-40354300:-																																																																				1					
chr1:40354631-40354714:-							1																																																																		
chr1:40363865-40366683:-												1																																																													
chr1:40391682-40391757:-			1							1																																																1															
chr1:42920583-42920707:-																																						1		1																						2											
chr1:42920588-42920679:-																																																																				1					
chr1:43149921-43150109:-																																																																									1
chr1:43486466-43486647:-																																																									1																
chr1:43509806-43509912:-																																																			1				1																		
chr1:43997721-43997930:-			1																																																																						
chr1:44014866-44014976:-																														1																																											
chr1:44049691-44049809:-																																																				1																					
chr1:44607946-44608030:-																		1																																																							
chr1:44609151-44609328:-																																																																							1		
chr1:44752798-44752949:-																																																																									1
chr1:45350933-45361651:-																																																	1																								
chr1:45363582-45363689:-																											1																																														1
chr1:45385271-45386914:-																																																										1															
chr1:45386390-45387993:-																																																		1																							
chr1:45414829-45415012:+																1																																																									
chr1:45419389-45421314:+																																											1																														
chr1:45419390-45421316:+																																											1	1																													
chr1:45426006-45427422:+		1																																																																							
chr1:46874790-46874916:+																										1																																															
chr1:50994126-50994223:-																																																																	1								
chr1:51002300-51002407:-																																		2																																							
chr1:51340500-51340650:-							1																																																																		
chr1:51368568-51368686:+																	1																																																								
chr1:52133587-52133671:-																																																																									1
chr1:52177444-52177577:-																																																											1														
chr1:52616032-52616132:-			1																																																																						
chr1:52747493-52747626:+																				1																																																					
chr1:54079331-54079426:+																					1																																																				
chr1:54785086-54785215:+																																																												1													
chr1:54922793-54924470:+															1																							1																						1										1			1
chr1:54922795-54924470:+		1																																																																							
chr1:54959342-54959528:+						1																																																																			
chr1:55042467-55042579:+																																									2																																
chr1:55124645-55125261:+																1																																																									
chr1:55490393-55490648:-											1																																																														
chr1:55525737-55525867:-																							1																																																		
chr1:55544703-55544790:-																																		1																																							
chr1:55592605-55592720:-																																																		1																							
chr1:55592607-55592722:-																													1																																												
chr1:55735140-55735269:-																																																								1																	
chr1:55776174-55776407:-																																								1																																	
chr1:57425294-57425397:-																																																																	1								
chr1:57895075-57895279:-																																																								1																	
chr1:58457061-58457397:+		1																																																																							
chr1:58529781-58529873:+																																																						1																			
chr1:58606972-58607102:+				1																										1																																											
chr1:58756631-58756791:-																																								1																												1					
chr1:58793025-58793262:-																																1																																									
chr1:59209023-59209113:+																												1																																													
chr1:59209113-59209682:+																											1																																														
chr1:59522670-59522769:-																		1																																																							
chr1:59634683-59634781:-																																								2																																	
chr1:59726447-59726543:-																														1																																											
chr1:60014078-60014158:-																		1																																																							
chr1:60320122-60320262:-																																														1																											
chr1:60335041-60335124:-		2	1																																			1																							1												
chr1:60374522-60374679:-																																												1																													
chr1:60476391-60476500:+																																												1																													
chr1:60483184-60486483:-																																																										1															
chr1:60519338-60519484:+																																																														1											
chr1:60524695-60524826:+																																									1																																
chr1:60600835-60600999:+																																				1																																					
chr1:60601263-60601367:+																																									1																																
chr1:60602758-60603002:+				1																																																																					
chr1:61693352-61693456:-																				1																				2																															1		
chr1:61879707-61879904:-																																																													1												
chr1:61962662-61962771:-																											1							2																																							
chr1:62057189-62057271:-																																																																									1
chr1:62600826-62600910:-																										1																																															
chr1:62679520-62679996:-																																																													1												
chr1:62753997-62754104:-																																								1																		1															
chr1:62775082-62775166:-											1									1																																	1																				1
chr1:62808210-62810921:-																			1																		2																																				
chr1:63092025-63092158:+																																																											2														
chr1:63094172-63096561:+																																1																																									
chr1:63097510-63097691:+							1																																																																		
chr1:63097612-63097688:+		1																																																																							
chr1:63097612-63097691:+																																										1																															
chr1:63097614-63097691:+																																																						1																			
chr1:63097615-63097691:+																																		1					1			1																			1												
chr1:63124987-63125129:+												1																																																													
chr1:63180921-63181076:-																																									1																																
chr1:63196362-63198998:+					1	1												1								1								1										1			1															1											
chr1:63201151-63201284:+																																					1																							1													
chr1:63633858-63633952:-																																																																						1			
chr1:64069010-64069256:+																																1																																									
chr1:64105470-64105653:+																																																									1																
chr1:64108741-64108876:+																																																											1														
chr1:64108743-64108878:+				1																																																																					
chr1:64152677-64152933:+																																																									1																
chr1:64621340-64621490:-					1																																																																				
chr1:64642806-64642983:-											1																								1																																						
chr1:64772320-64772773:+																																								1																																	
chr1:64859176-64860564:+				1																																																																					
chr1:64870299-64870388:+																				1																																																					
chr1:65202690-65202765:+																																																			1				1																		
chr1:65258667-65258758:-			1																																																																						
chr1:66233596-66233693:-																										1																																															
chr1:66253791-66253908:-											1																																																														
chr1:66427752-66427827:-																																											1																														
chr1:66427754-66427885:-																																																									1																
chr1:66740397-66740532:-																																																																							1		
chr1:66759418-66759645:+																																																																									1
chr1:66783316-66783401:+		1																																																															1								
chr1:66808278-66808441:-																																1																																									
chr1:66866645-66866736:+																																																		1																							
chr1:66979636-66980232:+																																																						1																			
chr1:66983985-66984057:+																																																1																									
chr1:68333089-68333170:+																																																		1																							
chr1:68722009-68722168:+																																1																																									
chr1:68817427-68817616:+																																1																																									
chr1:71624887-71625227:+																																											1																														
chr1:71625354-71626031:+																																																								1																	
chr1:71625355-71626031:+																												1																																													
chr1:71625355-71626033:+		1			2	1			1		1					1		1								2				1		1								2			1			1						1	3																				
chr1:71634924-71636468:+																																																					1																				
chr1:71636589-71636757:+														1																																										1			1				1							1			
chr1:71636652-71638813:+																																										1																															
chr1:71641510-71644209:+						1																																																																			
chr1:71648591-71665201:+																																	1																																								
chr1:71651653-71654568:+																																						1																																			
chr1:71651653-71654616:+																					1																																																				
chr1:71660087-71660247:+																																																														1											
chr1:71671201-71671284:+																						1												1													1																			1						1	
chr1:72283946-72284047:-																																	1																																								
chr1:72429205-72429284:-																																																				1																					
chr1:72636083-72636230:-							1																																																																		
chr1:72897225-72897355:+																																																															2										
chr1:72897226-72897327:+			1		1	1	1										1	1			1		3		1							2						1	2	1	1				5	1				3	1				1				1					1		1				3			
chr1:72897226-72897352:+							1																																						1																				1								1
chr1:72897226-72897355:+							1			1																						1			1				1																																		
chr1:72897229-72897355:+																														1													1						2	1			1																				
chr1:72897562-72897637:+																																																			1				1																		
chr1:72897999-72898102:+																																												1																													
chr1:72898170-72898497:+																														1									1																			1															
chr1:72898208-72898384:+																																								2																																	
chr1:72898271-72898392:+																																											1																														
chr1:72898273-72898395:+						1																																									1																	1									
chr1:72898275-72898387:+			1						3												1		3	1										1																																							
chr1:72898275-72898397:+							1																																																																		
chr1:72898276-72898387:+																																																										1															
chr1:72898310-72898472:+																																																											1														
chr1:72898569-72898701:+																										1																																															
chr1:72898841-72899003:+																	1																									1							1																								
chr1:72898841-72899006:+																										1																	2		3																												
chr1:72898841-72899046:+																1													1																																												
chr1:72898925-72899046:+																																																		1																							
chr1:72899007-72899190:+																			1																																																						
chr1:72899094-72899183:+					2	2					2	1								1									2			1		1				1		1	1		2								3				3						1		1								1		
chr1:72899095-72899183:+									2					1																																																											
chr1:72899149-72900570:+																																																																									1
chr1:72899166-72899328:+																						1																																																			
chr1:72899751-72900497:+											1																																																														
chr1:72899885-72900544:+																																		2																																							
chr1:72900570-72900814:+																																										1																															
chr1:72907847-72908068:+																																																																						1			
chr1:72912427-72912741:+																																																				2																					
chr1:72913354-72913597:+																																																															1										
chr1:73559818-73559974:+																																																																						1			
chr1:73580067-73580174:-																																																	1																								
chr1:73947567-73947663:+																																																			2				2																		
chr1:73949899-73950151:+																																																					1																				
chr1:73951094-73953086:+												1																																																													
chr1:73951693-73951771:+																																																																							1		
chr1:73953609-73953797:+												1																																																													
chr1:73963991-73964088:+			1																																																		2																				
chr1:73968606-73968750:+			1			1	1											1																								2																				1											
chr1:73971385-73971534:+																									2																																																
chr1:73974772-73974927:+																																																																									1
chr1:73975775-73975926:+																																	1	1				1		1				1														1															
chr1:73975778-73975927:+																																																						1																			
chr1:73986369-73986466:+																																			1										1																			1									
chr1:73989676-73989809:+																																																														1											
chr1:73991749-73991907:+																			1																																								2														
chr1:73991819-73991907:+			1															2		1														1		1																																					
chr1:74039228-74039307:+																																																														1											
chr1:74041457-74041546:+												1																																																													
chr1:74087630-74087783:+																											1																																														
chr1:74087690-74087891:+																																					1																																				
chr1:74087768-74087891:+																																					1																																				
chr1:74320302-74320470:+																																																																				1					
chr1:74327574-74327811:+																																																	1																								
chr1:74334431-74334522:+					1						1			1						1						1	1	2				1					1				1							1	3	1												1			1		1						
chr1:74334447-74334538:+																																					1							1																			1										
chr1:74392684-74392786:-																																															1																										
chr1:74489653-74500889:-																																										1																															
chr1:74567895-74568106:-																																																									1																
chr1:74609116-74609386:+																																														1																											
chr1:74609373-74609465:+																														1																																											
chr1:74610185-74610299:+																									1																																												1				
chr1:74610185-74610327:+																																																1																									
chr1:74610189-74610329:+		1																																																																							
chr1:74718677-74718872:-																																1																																									
chr1:75113240-75113308:+									1																																																																
chr1:75113308-75113419:+																																																														1											
chr1:75157600-75157814:+																														1																																											
chr1:75193923-75195882:+																																																																				1					
chr1:75219313-75221535:-																																																																					1				
chr1:75337375-75337519:-																																		1																																							
chr1:75339616-75340216:-														1																																																											
chr1:75339618-75340219:-														1						1																																																					
chr1:75340219-75344294:-		1																																																																							
chr1:75343753-75343961:-																							1	1											1																																						
chr1:75343776-75343865:-		7	2					1	8		2	3		5	1			4	5	1	5	1	11	3	4		7	4		2	2			13			9	1	4	14	1	2	5	2	1	4	4			1	4		5	4	4	2		3	1	8	8	4					19	3	3		3	6	8
chr1:75343776-75343961:-									1																																																																
chr1:75343778-75343865:-														1																													1																														
chr1:75343800-75343961:-																					1																																																				
chr1:75343802-75343961:-																															1																																										
chr1:75343803-75343959:-																							1					1																																													
chr1:75343804-75343959:-			1																																																																						
chr1:75343865-75343960:-														2					1					1				2																				1																									
chr1:75343865-75343961:-		11	5	5		1	11	2	17		2	5	8	8	6		3	11	22	8	9	2	17	7	16	1	21	16	8	2	3	9	9	12	3		24	3	8	5	8	7	3	3	2	5	12	8		1	9	1	9	11	9	8	3	15	6	21	10	14	1	7	2	4	21	15	2	1	8	12	21
chr1:75343866-75343961:-																			1																																																						
chr1:75343867-75343962:-									4										1					1				1																																													
chr1:75343868-75343963:-		2												2																																																										1	
chr1:75377786-75377973:-																																																										2															
chr1:75407454-75407588:-													1																																																												
chr1:75418475-75418778:-																														1																																											
chr1:75454248-75454981:+																																																																						1			
chr1:75483339-75483497:-											1																																																														
chr1:75523972-75524089:-																																																									1																
chr1:78397297-78397456:+																																															1																										
chr1:78639356-78639483:-																					1								1													1																				1			1								
chr1:78645374-78645483:-																																1																																									
chr1:78659399-78659524:-																																																			1				1																		
chr1:80206379-80206525:-																																																										1															
chr1:80246964-80247046:+		1			1														1																					1																																	1
chr1:80246967-80247045:+																																														1										1																	
chr1:80258657-80258771:+					1																																																																				
chr1:80481454-80481581:+																																1							1																																		
chr1:80523145-80523288:+																																																						1																			
chr1:80588654-80588777:+																																																			1				1												1						
chr1:82212579-82212747:+																																																																									1
chr1:82212710-82212790:+																																																										1															
chr1:82214288-82214401:+																																													1								1																				
chr1:82240002-82240099:+																																				1																																					
chr1:82254546-82254653:+												1																																																													
chr1:82264698-82266109:+																																										1																															
chr1:82268355-82268455:+																																																																				1					
chr1:82323727-82323825:-																											1																																														
chr1:82392328-82392532:-																																				1																																					
chr1:82422120-82422321:-																				1																																																					
chr1:82422620-82422766:-																																																																	1								
chr1:82426782-82427193:+																														1																																											
chr1:82688601-82688679:+																																															1																										
chr1:82702134-82702435:+																																																														1											
chr1:82860027-82860141:-							1				1							1														1									1																													2			
chr1:84063028-84063136:+																																															1																										
chr1:84092538-84092668:+																														1																																											
chr1:84199724-84199830:+																																																												1													
chr1:84214995-84215103:+																																																														1											
chr1:84736228-84736349:+																																										1																															
chr1:84771517-84771595:+																																1																																									
chr1:85612667-85612773:-																																																			1				1																		
chr1:85615502-85615669:-											1																																																														
chr1:85776887-85777039:-																																1																																									
chr1:85835846-85835950:-																																					1																																				
chr1:86010868-86012992:+																																																									1																
chr1:86061481-86066874:-																																																									1							1									
chr1:86101337-86116644:-																																			1																																						
chr1:86817887-86817970:-							1																																																																		
chr1:86965769-86965936:-																																																	1																								
chr1:87147325-87148734:-																											1																									1																					
chr1:87147325-87148735:-																																																										1															
chr1:87153905-87160185:-																																							1																																		
chr1:87153909-87155599:-																																																					1																				
chr1:87284028-87284163:-																		1																																																							
chr1:87480238-87480322:+																				1																																																					
chr1:87558148-87558321:-						1																																																																			
chr1:87583865-87584013:-																					1																																																				
chr1:87634476-87634620:-										1																																																															
chr1:87788734-87788831:-							1																																																																		
chr1:87847024-87847116:-																1																																																									
chr1:87871449-87871560:-																													1																																												
chr1:87877915-87878021:+																																		1																																							
chr1:87925403-87925562:+																																																											1														
chr1:89006980-89007067:-																																																									1																
chr1:89065369-89065482:-																																																			1				1																		
chr1:89073169-89073367:-																												2																																													
chr1:89080080-89080883:-																							1																																																		
chr1:89418464-89418549:-																																																				1																					
chr1:89484606-89484704:-																1																					1																																				
chr1:89506849-89507010:-																																												1																													
chr1:89554836-89554921:-																	1																																																								
chr1:89714558-89714706:-																																																																				1					
chr1:90142140-90142577:-																																																						1																			
chr1:90534333-90537861:-																																																	1																								
chr1:90534335-90537863:-																																		1																			1																1				
chr1:90542280-90542371:-																																												1																													
chr1:90694704-90694787:+																														1																																											
chr1:90694875-90695245:+																																						2																																			
chr1:90695160-90696145:+																																																													1												
chr1:90701276-90703288:+			1																																																																						
chr1:90703913-90704003:+				1															1	1							1																						1		2				2	2										1							
chr1:90711952-90712960:+																																	1																									1															
chr1:90752105-90752347:+																																																																							1		
chr1:90769186-90769262:+																																																																		1							
chr1:90860697-90860779:-																																							1								1		1																								
chr1:91005108-91005364:-																																																													1												1
chr1:91040480-91040652:-				1																																																																					
chr1:91048574-91048690:-																																																																				1					
chr1:91178756-91178851:+																																	1																																								
chr1:91376975-91377117:+						1					1																																																														
chr1:91469017-91469094:-																																														1																											
chr1:91903570-91903657:+																																					1																																				
chr1:91998215-91998375:+											1																																																														
chr1:92397713-92398683:+																																																																									1
chr1:92762759-92762888:-																																		2			1																															1					
chr1:92782722-92782875:-									1																																																																
chr1:92785706-92786196:-																																															1																										
chr1:92786541-92786643:-		1					1																																																						1						1						
chr1:92786541-92786645:-		1																																						1																																	
chr1:92786543-92786645:-																																														1																1											3
chr1:92786543-92786646:-																											1																																														
chr1:92786545-92786645:-									1																																						1																										
