id	antiHormonal_20m_ESR1_tamoxifen_2m_3	aging_24m_ESR1_6m_2	aging_24m_CYP19A1_no_3	antiHormonal_18m_CYP19A1_no_1	aging_24m_CYP19A1_12m_2	aging_30m_CYP19A1_18m_2	antiHormonal_20m_ESR1_no_2	antiHormonal_18m_ESR1_no_3	aging_24m_CYP19A1_6m_3	aging_12m_ESR1_no_2	antiHormonal_18m_ESR1_no_1	aging_12m_ESR1_no_1	antiHormonal_20m_CYP19A1_tamoxifen_2m_1	aging_18m_ESR1_no_2	aging_24m_ESR1_6m_3	aging_18m_ESR1_no_1	aging_12m_ESR1_1w_2	antiHormonal_20m_ESR1_tamoxifen_2m_1	antiHormonal_20m_CYP19A1_tamoxifen_2m_2	aging_18m_ESR1_no_3	aging_24m_CYP19A1_12m_1	aging_30m_CYP19A1_18m_3	aging_24m_CYP19A1_6m_2	aging_12m_ESR1_no_3	aging_12m_ESR1_1w_1	aging_24m_ESR1_12m_2	antiHormonal_20m_CYP19A1_no_1	aging_12m_CYP19A1_no_1	antiHormonal_20m_CYP19A1_no_3	antiHormonal_20m_ESR1_tamoxifen_2m_2	antiHormonal_18m_CYP19A1_no_3	antiHormonal_20m_CYP19A1_tamoxifen_2m_3	aging_24m_ESR1_no_2	antiHormonal_20m_CYP19A1_letrozole_2m_1	aging_18m_ESR1_1w_2	aging_30m_ESR1_18m_1	antiHormonal_18m_ESR1_no_2	aging_18m_CYP19A1_no_2	aging_18m_ESR1_1w_3	aging_24m_ESR1_6m_1	antiHormonal_20m_ESR1_letrozole_2m_1	aging_24m_ESR1_no_1	aging_24m_ESR1_12m_1	antiHormonal_20m_ESR1_no_3	aging_24m_CYP19A1_12m_3	aging_24m_CYP19A1_6m_1	aging_12m_CYP19A1_no_3	aging_12m_CYP19A1_no_2	aging_30m_ESR1_18m_3	antiHormonal_20m_CYP19A1_no_2	aging_18m_CYP19A1_1w_2	aging_12m_CYP19A1_1w_3	antiHormonal_18m_CYP19A1_no_2	antiHormonal_20m_ESR1_no_1	aging_30m_ESR1_18m_2	antiHormonal_20m_ESR1_letrozole_2m_2	antiHormonal_20m_CYP19A1_letrozole_2m_2	aging_18m_CYP19A1_1w_3	aging_12m_CYP19A1_1w_2	aging_12m_CYP19A1_1w_1	aging_12m_ESR1_1w_3	aging_24m_CYP19A1_no_2	aging_18m_CYP19A1_no_3	aging_24m_ESR1_12m_3	antiHormonal_20m_ESR1_letrozole_2m_3	aging_24m_CYP19A1_no_1	aging_18m_CYP19A1_1w_1	aging_24m_ESR1_no_3	aging_30m_CYP19A1_18m_1	aging_18m_ESR1_1w_1	antiHormonal_20m_CYP19A1_letrozole_2m_3	aging_18m_CYP19A1_no_1
chr1:39589162-39589481:-	1																																																																							
chr1:39594559-39604413:-	2					1	1				2	3																				1																			1					1														2		
chr1:40013087-40029459:+	1																																																																							
chr1:40295711-40295962:-	1																																																																							
chr1:43165757-43172313:+	1																																																																							
chr1:44783634-44820266:+	1				1																																	1	1																	1													3		1	1
chr1:44805174-44827702:+	1																																																													2										
chr1:45370285-45370721:+	6				2	5				7		3		2		6							8			2		9	4															8	12	2		5												6	11							1				
chr1:52890929-52908117:+	1																									2																																														
chr1:53295788-53321251:-	1			1	4			1	1	1		2	4		4	2		2	3		5	4		3		4	4	2	4	1		2			8				3	2								3	6	8	5	1				4	3	3		2		3		3	4			6	2	3	2	
chr1:58456493-58458871:-	5															2														8	13	12		6		2			16	3									10					2										8							6	
chr1:58796099-58796236:+	1										1							1																																																						
chr1:59852747-59854570:+	1										1								1									1																							1											1	1	1								
chr1:60175423-60178502:+	1							1																					1						1																				1																	
chr1:60311292-60317220:+	1																																																																							
chr1:62250756-62255714:+	1																																																												1											
chr1:64590008-64615488:+	1			1	1						3			2		1	2			2		1		1	1	2	2				3	1		1	1		1	2			2			3				1							3				1												1	2
chr1:65229478-65277701:+	1																																									1																														
chr1:66801207-66846763:-	1				1	1			1		1		2				1	1			2			1			3			2						1								1		2			2	1		1						1				3			1						1	
chr1:66812065-66841327:-	4							1	7		6	2		4		4	4	4		2		4		2		2	2		1		1					4			5		2	2				7	2		7	8	3				2	4			2		3	1		6			1	3	4	6	2	
chr1:75171485-75173313:+	1																										1	1		1																									1											1					1	
chr1:75338812-75339052:+	8		1		1	6		1	1		4	4	7	5	1	22			9		3	7	1	1					4			7		13	6		7	11	3		10				4				3		25	1	2	6	2	6	7	2	2		1			2		1	6		1		12	11
chr1:80281797-80300773:-	1											1																																						1														2								
chr1:86016531-86017912:+	1																																																																							
chr1:87153906-87160185:-	1																																																																							
chr1:87291826-87307730:+	10	12	5	6	9	7	2	10	5	6	8	4	10	7	10	17	6	9	10	3	10	8	5	8	7	8	4	8	7	3	12	9	13	10	9	4	11	21	9	2	7	7	12	5	11	5	1	10	15	9	9	8	5	10	5	7	5	12	2	3	7	14	2	10	6	5	5	4		8	20	21
chr1:87291826-87364613:+	1								3				2											3			1											1			1		1							1					1																	1
chr1:87842822-87846443:+	1			1					1																																					2				1						2																
chr1:91016356-91036394:+	1								3							4														1			1		2	1			1										1						1																	
chr1:91312287-91313068:-	1	1	2				3	1			1		1				1					1						1			2						2	1									1	1	1	1			3			1		1					1					1	1	1	2	1
chr1:110835789-110882602:-	1																												1																																											
chr1:118794302-118818131:-	1		1						1							1				1				1																									1																							
chr1:125499801-125499936:-	1										1			1																																																										
chr1:127816893-127843457:+	1																																																																							
chr1:127858444-127865302:+	1		1									1			1														1			1																						1								1									1	
chr1:128121197-128151378:+	1																											1																																												
chr1:128183170-128197708:+	1																																																	1	1				1																	
chr1:131439444-131439622:+	2																																																																							
chr1:133221444-133221825:+	1						1																																																																	
chr1:133561500-133575267:-	2					1						1	1			1																																					1					1														
chr1:134699736-134709905:-	1											1																																												1																
chr1:134991359-135003036:-	1							1																							1																																									
chr1:136417938-136431177:+	1																																																																							
chr1:136576963-136577168:-	2																																																																							
chr1:138443363-138444374:-	1										1												1					1						1											1				2	1											1										1	
chr1:140352931-140378042:+	1																																																																							
chr1:143543363-143553593:-	1	2				1								1	2	1	1		1						3	2	1		2		1						2	4	1		1	5		1	1			1					1	2					1	1				2					1	1	4	4
chr1:152400396-152404210:-	1																																																																							
chr1:153130935-153133952:-	1																																																																							
chr1:153138412-153207904:+	1																								1																								1							1																
chr1:153358488-153359618:-	2		1																										1																			1									1															
chr1:153778680-153780444:+	1			1							2												1	1	1						1																							1							1											
chr1:155834307-155838306:-	1				1					2																					1		1					1	1															1																		1
chr1:160528282-160530030:-	2			1							2	3		2	3	2	2	1	1	2					2	2			1						3			1	3		3	2		4					1	2	6				1	1	1	2		1				1			1		2			1
chr1:160528282-160568501:-	2																																						1														1																			
chr1:162123121-162141265:-	1	1				2						1				1																						2						1				1		2	1								1									1		1	1	2
chr1:164105743-164110106:+	1																																															1																								
chr1:166222230-166223785:-	1																																																																							
chr1:167057462-167065217:-	1																																																																							
chr1:170676686-170682758:-	1																										1																																													
chr1:171681456-171681615:+	1																																																																							
chr1:172001510-172015027:+	1							3			1			2		3	1	2			2			7	4					1	1				2				2			3		1							2		1	1		1	1	1												2		
chr1:173733039-173845222:-	1						1			1				1			4			1					1								3				1		1			9	1	5												3					3			1								
chr1:176871341-176877818:-	1																																																																							
chr1:176906340-176958662:-	1										1																					1																																1								
chr1:176924533-176937304:-	1			3					1						1		1																												2					3													1	1								
chr1:176930528-177076447:-	1	4	3								2	3	4	1	3		2	4	2			4	4		2		4	3	5	4	3				1		2	5	1		1	1		1	2			4	1	8	3	1		3		3	2	3	2		5	3	1	1			1		5	3	2	5
chr1:178150699-178152878:-	1		1	2		3		3	5		8			1		10	1	2	2	4				2				3			5	1		1	4		2	5			2		4			5				1	2		2		2	5		6	3			4		3	1	1	4	2				5
chr1:179950549-179950730:-	1																																																																							
chr1:180401217-180424953:+	1																																																																							
chr1:180416963-180417158:+	1			1																									1																																											
chr1:182916919-182917440:-	1									1			1							1						2				2		1	2		1				1															1		2		1						1			3	1				
chr1:184999098-184999476:+	1			2		2	1	1			1	1			3			1	1	3	2					1							1		1		1	1	1					3				1	3		1					1	1	1		1				2	1		4	2		3		1
chr1:185118443-185129464:+	1	1			2		1		1	2	1			1	2			3	1		1			1						1		3	4		4		2	6	1		2			4				7	5		1		2	1	2	1	4	1			1			4			2			2	1	6
chr1:190566203-190576799:-	2																	1								4																											1																			
chr1:190741746-190747695:-	1																					1																																																		
chr1:191128083-191128318:+	1																	1																																																						
chr1:191222288-191224553:+	2															1																																																								
chr1:191481652-191495783:+	4									2		1	2							1										2		3															1												1											3		
chr1:194695084-194695237:-	1																																																																							
chr10:4318353-4324754:-	1																																																																							
chr10:7577374-7578884:+	1								1	3	1	2	1	1		1	1																	1			2	4	1					1	1	3				2	2		2					1	1				1	1			1			1	1	4
chr10:7674231-7686222:+	2				5	1	3	1	2		5			2	5	6		2	4		1	3	6	1	3	1	2		2		1	1	4	1	4		1	5			1			5		7		3		3	6		4	2	1	2	5	2			1				3		3	3		1	9	5
chr10:8173820-8205987:-	1				2			2				2			1							1		1			1								1										1	3		1		1	2						1			1	2	2	1									
chr10:9655724-9655862:+	1																																																																							
chr10:12297341-12323836:-	1																																																																							
chr10:13879945-13942428:+	1		1					1		1	2		1	3		4		1	2						1				3				2	4			2	2				3		1				3				2			2			1						3			2					2
chr10:13879945-13961826:+	2				1				1							1																													1										1																	
chr10:19760524-19770548:-	1										1																																		1						1					1	1			1			1			1					1	
chr10:22161590-22183197:+	3						1	1				5		4	4																				2		2																	1		1									2							
chr10:25115524-25165628:-	1											1				1				1									2																					1	1									1							1					
chr10:25143206-25165628:-	1	3		6	3	1	1	4	1	3	3		3	2	8	2	4	8	9	2	5	5	7	6	2	6	9	4	3	2	5	11	14	4	5	3	5	7		4	3	3	1	6	6	3	2	10	9	9	12		4	4	2	5	7	5	5	2		7	5	3	5	7	7	2	2	4	8	7
chr10:25317471-25371489:+	1																																																																							
chr10:25319697-25319852:+	1																																																								1															
chr10:27475264-27475400:-	1																											1																																												
chr10:33015070-33076218:+	2																				2						1											1																																		1
chr10:33051765-33062696:+	2																																						2																																	
chr10:33051765-33076218:+	2								3			1				3		2					1	1					2	1		1		5					2					4	1	3	2		3	2			1	1	3	1	2							1			2					
chr10:33274377-33326998:+	1					2																																																																		
chr10:33340554-33342457:+	3											4	7			18		4							1	3	5			6		7		12	3			6			8			4		6					11					9	11				2				11						9	6
chr10:33340554-33344190:+	14					2												12									4									1								1					1																		3				16	
chr10:33342419-33344190:+	5	9	5		2		3		3	1	2	8	6	7	1	11		3	17			2		15		2	5		1				8	18	6		4		8	3	26	2		6		7			11	8	6		1	9		13	4	3			4			5	4			4	5	7	9	
chr10:33872663-33888133:-	1									1																			1						1																										1										1	
chr10:39618687-39690086:+	1															1												1			1																																									
chr10:41397914-41400141:+	1			1	1				1		1		1			3	1					2									5	1			1		3	2	1		1	1					1	2	1	1	2	1	3	1					2		1		2		2			2		1	3	2
chr10:42733872-42811143:+	1																																																																							
chr10:45464476-45494725:+	1								1				1		1			1													1			1				1	1												1				4										1						2	1
chr10:55547870-55590653:-	1						1											1				2					1						1									2							1						1										2	1						
chr10:58359960-58364834:+	1																																																																							
chr10:59027988-59028637:-	1	1	3					1				1				1						1	6	1	1		1	3	1	1	1					1				1		2				1		1									2		3		1	6			1							
chr10:62668673-62676157:-	2			1							1		1	1								1						1				1		1				1											1									1						2								1
chr10:62998001-63005209:-	3		2		2	1			2							2			1		2						2			1		1	3	2	1	3					1								1	5	1				2		1	2						2			2		5		1	
chr10:67411716-67430094:+	1																																						1																																	
chr10:75066516-75115795:+	1																																					1																			1															1
chr10:75589211-75591334:-	1													1																																																										
chr10:76235690-76248483:-	1		1												1																			2																		1																				
chr10:76339997-76343381:+	1																																																																							
chr10:76446863-76447023:-	19		9					31	6	16	5							15							19				1	3	5				3		27	5	3		25				16	14				5				3			17		1		12			6	4	7		9	38			5
chr10:76561552-76561795:+	2																																																																							
chr10:79651019-79651678:+	1							1										1		1						1																																														
chr10:79814022-79814309:-	1																																																																							
chr10:80504845-80505027:+	1																																																																					1		
chr10:82204405-82204792:+	1			2						1						2		1				1									1	2					1		1							1			4		3		1		1	1	3							1	1					2		
chr10:82544843-82548072:+	1																																																																							
chr10:83090647-83119733:-	1											1		1													1							1																															1					1		
chr10:94700579-94702860:-	1																								1																																															
chr10:108085296-108096897:+	1															2			1			3		2								2		2	2			2			2										3														2		2				5	2
chr10:109652115-109660542:-	2	1									1	2				1																2													1	1			2	1	1		2													1						
chr10:116353222-116385080:-	1		4	3				2		3										1				1	2		1				2		2				3	2	1				1				1	2		2	2		2			2				1					1	2						2
chr10:116935848-116938103:-	1			5			1	3						1		2				3		1		2							3		1				3	1	5		6		1		3				1	2	2	1	1	1				1			5											1
chr10:119043932-119044192:-	1																																																																							
chr10:121391892-121393208:-	1																																																																							
chr10:121761721-121767414:-	3	1	4	2	1	2	1		3	1	3		2	3	1		4		3	1		3		3	5		3	2	1	1	1		3		2		2	2	2		3	2			3		1	3	3	3	6	4	3	1	2	5	1	3	2	1	4	2	2		4		1		3		2	2
chr10:128304664-128305658:+	1													1																	1																														2				1							
chr11:3090137-3105496:-	1																																																																							
chr11:3153630-3180101:+	1																														1																																									
chr11:4467741-4496268:-	3					1					3	1			1						1				1			1		1		2		1	1				2		3						1				2	1									3				1				5		2	
chr11:4477836-4481305:-	2		2	3								3			1	2					3			1		3					1	2					2	1	4						1			3			2							1	1	1		1			3					1		1
chr11:4608215-4609384:+	1															1											2				1	1																					2		1			1						1					1			
chr11:5474330-5474742:-	1																																																																							
chr11:5753077-5753321:+	1					1								2		2			2																									1							2																			2		
chr11:6143154-6143476:-	4	3		2	3	1	1	1			3	1				1	3	1	2		2				1	2		2			3	2	2	2			1	2	1	2		3		4	6	6			3												1	4					3					2
chr11:19948120-19958477:+	3			3	3	1	1		4	4						2	2		4	7	3						3				2	1	1		2			5								5		3			2		3	5		3	1		1			2					5					5
chr11:20675685-20677639:-	1				1	4													2			2				1	1		1	4			1		1		3		3			3			5	1	3		3	3	1	1				3					3			2	4	1	3			3		
chr11:21213199-21250318:+	1																																															2			1																2					
chr11:22003432-22018503:-	1	4		1	1				2	2	1		1												1			1		1								1	1									1	4	2														1						1		1
chr11:22003432-22018506:-	4	7	1	3	4	2	1	1	5	3	3		3	5	6	4	2	5	4	2	6	8	4	2	3	1	1		1	6	4	2	7		2			8	11	3	5	3		5	4			4	14	11	1		2	1	8	3	2	6	3	1	2	2	1	2	2	2	2	6	3	1	1	8
chr11:23556614-23572669:-	1																																																																							
chr11:23596321-23606130:-	1					2									1																																																									
chr11:28817466-28818039:+	2				3								2	1	2		1		5			3	3		3			2	8	2		4	5	3			2	2	3		2	3		2	3	2		1		4	5	2			1	2	3	1			3	8	1		2	1	7				2	2
chr11:29161231-29161791:+	1																																																																							
chr11:30169579-30169772:-	1						2			1		2	4		1	2		2	1							1	2									3	1	1		2								1			2		2			1	2														1	1
chr11:30236621-30236776:-	1																																																																							
chr11:43595361-43596304:+	1	4	5	2		4	2		2	3	1	2	2	4	5	6	3	6	5		2			3	1	6		2		2	2	3	2	4	1			7	2	4	3	6	4	2		4	2	2	1		7			2	1	2	3	1	1			4		3		2	3	3		3	6	7
chr11:44523578-44534296:+	1																																		1																																					
chr11:44564638-44564777:+	1														2																																																									
chr11:47085858-47113052:-	1																																																																							
chr11:49709407-49710081:+	1																								1																															1																
chr11:50192585-50199756:-	1										1						1			2					2		1											1						3	3				2									3	1		1											1
chr11:50195153-50201694:-	1																					1																																																		
chr11:51620279-51625488:-	1					1	1												2	1	2			1			1			1							1	1																1																	1	1
chr11:53427981-53428742:+	1		2																																		1		2		3												1							1							3					
chr11:54434405-54459322:+	2					2					1					2		1	1							1	2				1															1			1	1	1							1			1	1				1						
chr11:58968507-58973159:-	1																																																																							
chr11:58977491-58981609:-	35																				26	22											6												21																					24		24				
chr11:58990516-58990791:-	5					6										3			5								3			2	3						1				1					3		1			7																1	15			3	
chr11:59003345-59020671:-	6															4																																			1																	16				
chr11:59015347-59015622:-	24		25		19	35	2		21	2	20	4	11		5	15		9	6		27	11	12	2		8	22		9	4	7	7	12	18	7		12	12	8		11			17	13	34				9	31	2	7	10	25	7	16	3	4		4	11			6	18	17	12	36	4	14	12
chr11:61805850-61813655:-	1																		1	1									3	1									1										1									1														
chr11:62231234-62236144:-	1					1																									1														1			1		1							1															
chr11:62240179-62245514:-	1													1																																																										
chr11:62249681-62292093:-	1		1															1																																																	1					
chr11:62267461-62292093:-	2							2																																														1																		
chr11:66982709-67076344:+	5													1																1																10																										
chr11:66987127-67082292:+	1	8	11		12	21			1			1	1			3				1	1		7									1	1		1																1				1									2				11				
chr11:67067363-67095289:+	122	87	38		21	33	29	2	270	11	65	86	125	44	33	240	3	83	173	23	180	178	33	95	6	17	281	6	151	96	32	116	72	155	67	1	61	118	52	18	41	45	8	77	139	139	23	9	2	185	304	38	61	74	131	45	124	171	55		21	75	7	16	72	83	187	64	126	62	273	118
chr11:67071861-67098416:+	4												1														1										2							2									1																			
chr11:67071861-67137367:+	3						1		16	1	5	3	1		1	12		8	14	1	32	3		2	1		1	1	4	1	5	2	20	4	12	12	1	15	3	14	10		14	9	8	21	7		11	5	7	4	1	5	8	15	4	6	3		1	4	2	3	1	12	5		36	3	5	15
chr11:67072839-67076017:+	1																																																																							
chr11:67079488-67188160:+	7	69	202		217	132	1		9		9	3	13		9	39		5	2	7	37	9	173	12		41	9		29	5		9	32	16	14	2	6	4	3	8	4	43	15	17	11	28	1		6	10	22	3	1	8	11	11	19	7	5		8	4		6	6	19	6	133	24	9	11	4
chr11:67085174-67111824:+	3	32	45		31	41	2						1	1		10		3	5		23	1	18	1		12	4		3		1	1	21	2	4	2		6		7	1	11	17		3	11	1	18	1	5	14				6	1	1	6							1		4	22	11	3	2	6
chr11:67085174-67148121:+	630	235	404		300	475	153		1198	52	392	307	404	223	540	1164	10	550	418	83	233	807	292	455	25	255	693	18	528	335	119	474	322	762	340	98	337	358	279	121	752	180	122	936	643	229	126		900	480	1176	124	137	325	1018	884	634	178	179		207	429		775	16	167	393	445	165	294	840	358
chr11:67085382-67112251:+	71															157						70		62											29																				69									101							135	
chr11:67102155-67141463:+	69								54	15		43			23	226		58			27			59			125		58	40			43	116	43	3	38	61			73		11			26			45	98	166	19			52	68	8		19		21	25		32	4	9	53	32			137	61
chr11:67105563-67188673:+	1710								2403	149	879				1257	3848			1507	412	790	1712		1278			2210							2440	858						1598																1947				594	959			2052							
chr11:67110004-67145699:+	723				39						106		112	299	2	12		680			10				19				193			2		231	122				114				3		5	2					2					962	671							2	369	3	1		5	433	2	
chr11:67110004-67251303:+	137	205	311		120	358	43	2	280	9	75	100	126	59	95	472		176	39	25	81	190	177	154	13	96	335	4	160	94	39	168	195	201	75	44	77	121	59	61	203	117	79	23	127	178	25	11	166	264	374	20	68	57	23	191	181	215	49	3	33	94	5	27	205	84	149	220	200	59	42	121
chr11:67112339-67149564:+	1646	671	1146		832	1211	462	11	3281	139	1328	850	956	664	1634	4051	28	1510	1225	244	753	2250	751	1166	76	540	1692	58	1348	885	376	1433	1189	1847	1089	319	1083	1237	741	323	2183	476	435	4849	1855	916	353	2	27	1305	3432	309	386	860	2670	2314	1766	554	408	8	411	14		2097	21	498	1259	1049	691	966	2456	1237
chr11:67134302-67135461:+	1					1									1				2								1								1		1																																		1	
chr11:67141696-67142563:+	1										1		1		1																			2																	1					1	2	1	1												2	
chr11:67141699-67142563:+	2		1						6		1		1		1	7		3	1		1	4	2			3												1			1				3	1			2				1		3	1						1		3	1		1				5	1
chr11:67143008-67243022:+	1	3	10		6	3			2	1	1				2	5		1		2	12	2	3	2		2	1			1		1	8		2	4	2		1	2		3	5	8	2	8	3		3	3	2	2			1	1	1		3		1			3		6		10	5		4	
chr11:67143381-67188448:+	2	68	90		67	137	1		14		5	3	8	2	7	20		2	3	7	25	9	70	3		58	7	1	3	4	2	4	33	6	6	10	5	5	3	5	3	47	6	12	9	26			10	6	24	3	1	3	14	5	6		2		2	5		6	17	13	5	174	15	3	5	5
chr11:67196980-67258553:+	1																																	1																	1																					
chr11:68117602-68148280:-	1																																																																							
chr11:69540554-69542549:+	2	1	1	2			1	3	3		1	1	2	2					1			2		3		2		2			2		3	3		1	2		2		2	5			1		1	2			1	2		1	1	1		4		2	5						2					
chr11:70026417-70059522:+	19		9	31	19	11	6	30	10	12	20	15	15	25	21	20	20	6	14	11	5	18	5	9	15	7	18	9	22	19	18	18	9	11	19	1	53	26	23	4	17			122	20	3	3	21	6	20	25	2	7	21	21	12	20	9	9	13	17	13	5		20	5	20	4	12	26	15	26
chr11:70765572-70777997:+	2		3		2	6			2	3	3		5				2		3			3	4		3	2	1		3	3	1	1	2					2		1				2		3			2	2	4				4		1	5		1							3		2			2
chr11:70791298-70795609:+	1							1																																																												1				
chr11:72290700-72294830:-	3		7			5			11		3			4	4	8					8	7	1	2			8			1	2			2	4				3	1	2		5			9	2			5	8		1	5	5	4	2	4						3	6	5		7	5		4	
chr11:72536363-72553999:+	1						1												1	3																		2					1			1																				1						2
chr11:74686578-74694726:+	1																																																																							
chr11:74727189-74733179:+	1			1			1																								1				1																																					
chr11:79344629-79366709:+	1																																																																		2					
chr11:84083905-84086513:+	6		9	19	6	2	5	4	7	9	8	14	5	2	1	4	9		9	9		14	4	17	18	6	9	9	10	2	9	10		4	21	1	10	7	15		2	10	3	8	6	1	7	17	10	17	11	8	10	5	2	3	10	18	7	5	26	1	5		3	4	18		11	15	10	7
chr11:84333392-84348718:-	1																																																																							
chr11:84358287-84363992:-	1																											1								1																																	2		1	
chr11:85467608-85474820:+	2												1												1			1							1				1						1				1																		3		1			
chr11:86551949-86556704:-	2											1																							1				1				3														1								1							
chr11:87963883-87969381:+	1								3					1		1			1											1																		1									1							1	1							
chr11:88932988-88940726:-	1																1		2			1			1																				1				1									1			1			1			1	1				
chr11:93958913-93962512:+	1																	1						1											2															3																	1					
chr11:96713086-96718111:-	1												1							1																		1													1						1															1
chr11:97122715-97129084:-	2			1									1	1										1	2						1		1					1	3										2				1				1	3	1			1	1		1						3	1
chr11:97268762-97269537:+	1				2		1	2	1								2				1													1					1			2	1			3				1	2														1		1					
